Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Attached,Sanjay Katoch,17-Jul-2022 05:33 PM,finance_90825.pdf,BOQ Comparative Chart,1.0,280284.0,Ashok Kumar,INR,"2,255,666.5",Technical,Attached,Vivek Sharma,18-May-2022 06:11 PM,technical_90825.pdf,1.0,280284.0,Ashok Kumar,04-May-2022 09:40 AM,Accepted-AOC,l1,31-Jul-2022 03:44 PM,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,17-Jul-2022 05:36 PM,finsummary_90825.pdf (781.99 KB),31-Jul-2022,"INR 2,221,292",30.0,Sanjay Katoch,31-Jul-2022 03:44 PM,NaugighiAward.pdf (1317.00 KB),Award,PWD,2022_PWD_60089_1,C/O Jeepable link road NaunghRuhal km 0/0 to 1/300,Construction of Jeepable link road Naunghi to Ruhal km 0/0 to 1/300,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,18-May-2022 06:27 PM,19-May-2022 11:30 AM,techsummary_90825.pdf (970.27 KB),AOC,Construction of Jeepable link road Naunghi to Ruhal km 0/0 to 1/300,SH Providing and laying WMM and BC 25mm thick in km 0/300 to 1/300,Please refer Tender documents. ,NA ,"24,35,465",Civil Works - Roads,NA ,Tender,60.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,Corrigendum,Date,,28-Apr-2022 03:45 PM,07-May-2022 11:30 AM,28-Apr-2022 03:45 PM,07-May-2022 10:30 AM,NA ,NA ,28-Apr-2022 03:45 PM,07-May-2022 10:30 AM,19-May-2022 11:30 AM,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,C/O Jeepable link road NaunghRuhal km 0/0 to 1/300,2022_PWD_60089_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"44,100",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,281024.0,dhruv puri,06-May-2022 10:02 PM,Rejected-Technical,Rejected,18-May-2022 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,280305.0,Mukesh,03-May-2022 11:47 PM,Rejected-Finance,l2,17-Jul-2022 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
