Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
03-Jul-2022,"INR 898,580",30.0,Vivek Sharma,03-Jul-2022 01:58 PM,JagrialAward.pdf (732.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,22-Jan-2022 08:19 PM,finsummary_66557.pdf (625.91 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,26-Feb-2021 05:12 PM,26-Feb-2021 05:15 PM,techsummary_66557.pdf (1721.46 KB),PWD,2021_PWD_44397_1,C/O link road Jagrial to Daryal km 0/0 to 1/500,Construction of link road Jagrial to Daryal km 0/0 to 1/500,Technical,Attached,Dev Raj,26-Feb-2021 04:55 PM,None,1.0,199477.0,BALAL,20-Feb-2021 03:43 PM,Accepted-AOC,l1,03-Jul-2022 01:58 PM,1.0,199477.0,BALAL,INR,"898,580.4",Finance,Attached,Vivek Sharma,20-Jan-2022 08:30 PM,finance_66557.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD HAmirpur,16-Feb-2021 09:00 AM,22-Feb-2021 11:30 AM,16-Feb-2021 09:00 AM,22-Feb-2021 10:30 AM,NA ,NA ,16-Feb-2021 09:00 AM,22-Feb-2021 10:30 AM,26-Feb-2021 05:15 PM,"14,600",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,Construction of link road Jagrial to Daryal km 0/0 to 1/500,SH Construction of Hume pipe culvert at RD 0/540 0/910 and construction of retaining wall in different RDs and formation cutting etc,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hmirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,EE Hamirpur,EE Hamirpur,No,PWD,C/O link road Jagrial to Daryal km 0/0 to 1/500,2021_PWD_44397_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199683.0,Manoj Kumar,22-Feb-2021 08:39 AM,Rejected-Finance,l4,22-Jan-2022 08:19 PM,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-19,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199527.0,RAMESH CHAND GOVT. CONTRACTOR,20-Feb-2021 08:54 PM,Rejected-Finance,l2,22-Jan-2022 08:19 PM,,,,,,,,,,,,AOC,,,.pdf,Cost of tender authorized Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199643.0,sonam soni,22-Feb-2021 08:28 AM,Rejected-Finance,l3,22-Jan-2022 08:19 PM,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money authorized Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
