Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-2266-72 Dated 18-06-2022,2022_HPSEB_61907_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,Tender for providing 22KV HT Line to 63KVA 22/0.4KV S/Stn Jawala Under ESD HPSEBL Seri.,Tender for providing 22KV HT Line to 63KVA 22/0.4KV S/Stn Jawala Under ESD HPSEBL Seri.,please refer tender document  ,NA ,"5,88,047",Supply and Erection,Electrical Works ,Tender,180.0,90.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,1.0,ICICI BANK,21-Jun-2022 01:40 PM,29-Jun-2022 12:00 PM,21-Jun-2022 05:00 PM,29-Jun-2022 10:30 AM,NA ,NA ,21-Jun-2022 05:00 PM,29-Jun-2022 10:30 AM,02-Jul-2022 11:55 AM,"1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"14,701",No,fixed,,Nil,Nil,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",AOC,Technical,attached,Sushil Kumar,02-Jul-2022 11:47 AM,technical_93434.pdf,1.0,288805.0,Koyla Engineering Works,28-Jun-2022 02:40 PM,Rejected-Finance,L3,25-Jul-2022 02:45 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,02-Jul-2022 11:49 AM,02-Jul-2022 11:55 AM,techsummary_93434.pdf (643.08 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_61907_1,184619/DB/2022-23-2266-72 Dated 18-06-2022,Tender for providing 22KV HT Line to 63KVA 22/0.4KV S/Stn Jawala Under ESD HPSEBL Seri.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,AOC,,,,,,2.0,288610.0,M/s M.S. Electrical and Engineering works,28-Jun-2022 08:10 PM,Accepted-AOC,Found lowest as compare to all the bidders hence tender has been awarded to L-1 contractor,25-Jul-2022 03:15 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,AOC,,,,,,3.0,289055.0,SATPAL,28-Jun-2022 07:57 PM,Rejected-Finance,L2,25-Jul-2022 02:45 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,AOC,,,,,,4.0,289047.0,SUNEEL THAKUR ELECTRICAL,28-Jun-2022 07:23 PM,Rejected-Finance,L4,25-Jul-2022 02:45 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
