S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,266979.0,NISHANT KUMAR,INR,"4,598,928.5","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",2022_HPIPH_56786_1,EE-IPH-BSR-Tenders2022- 21601-650,Providing house hold connection by ministry of Jal Shakti Har Ghar Nal Se Jal under LWSS Bani Barsar Garli zone 2nd in Tehsil Barsar Distt. Hamirpur HP,SE JS Circle Hamirpur,Internal,"JE, CHD, AE(D), EE Barsar, EE(D),",Rajiv Sehgal,04-Jul-2022 03:12 PM,finsummary_85531.pdf (895.61 KB),Finance,BOS,Rajiv Sehgal,16-Mar-2022 01:22 PM,finance_85531.pdf,BOQ Comparative Chart,Technical,BOS,Rajiv Sehgal,16-Mar-2022 12:39 PM,technical_85531.pdf,04-Jul-2022,"INR 3,411,735",120.0,Rajiv Sehgal,20-Jul-2022 03:07 PM,AOCBBG.pdf (3531.00 KB),AOC,SE JS Circle Hamirpur,Internal,"JE, CHD, AE(D), EE(D), EE Barsar",Rajiv Sehgal,16-Mar-2022 12:41 PM,16-Mar-2022 12:45 PM,techsummary_85531.pdf (895.61 KB),1.0,266979.0,NISHANT KUMAR,27-Feb-2022 06:54 PM,Accepted-AOC,L3,20-Jul-2022 03:07 PM,AOC,400.0,EE JS Division Barsar,EE JS Division Barsar,Yes,1.0,Fee/PreQual/Technical,.pdf,The earnest money for Rs 54860.00 through off line or online mode FD or Exemption,Providing house hold connection by ministry of Jal Shakti Har Ghar Nal Se Jal under LWSS Bani Barsar Garli zone 2nd in Tehsil Barsar Distt. Hamirpur HP,P L of rising main for booster stage 1st stage Bumbloo pump house to Kalohan storage Tank and S/E of pumping machinery for booster 1st stage of Bumbloo pump house to Kalohan storage tank and main stage of pump house to Nanwana storage Tank),Please refer Tender documents. ,NA ,"31,57,042",Civil Works,NA ,Tender,120.0,120.0,BARSAR,174305.0,NA ,NA ,NA ,EE JS Division Barsar,No ,No,1.0,CORRIGENDUM,Other,,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",EE-IPH-BSR-Tenders2022- 21601-650,2022_HPIPH_56786_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"54,860",Yes,fixed,,EE JS Division Barsar,EE JS Division Barsar,EE JS Division Barsar,EE JS Division Barsar,1.0,ICICI BANK,14-Feb-2022 05:00 PM,28-Feb-2022 11:30 AM,14-Feb-2022 05:00 PM,28-Feb-2022 11:00 AM,14-Feb-2022 05:00 PM ,28-Feb-2022 11:00 AM ,14-Feb-2022 05:00 PM,28-Feb-2022 11:00 AM,16-Mar-2022 12:45 PM,AOC
2.0,267016.0,SS ENGINEERING WORKS,INR,"3,411,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,267032.0,Samjeev Malhotra,28-Feb-2022 10:45 AM,Accepted-AOC,L2,20-Jul-2022 03:07 PM,AOC,,,,,,,.pdf,"ii) The required cost of tender form Rs. 400.00 through off line mode, or Online will be allowed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
3.0,267032.0,Samjeev Malhotra,INR,"3,529,132.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,267016.0,SS ENGINEERING WORKS,28-Feb-2022 09:36 AM,Accepted-AOC,L1,20-Jul-2022 03:07 PM,AOC,,,,,,,.pdf,Certificate of registration with HP JSV Department appropriate class and latest renewal thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,iv) The authorization letter regarding digital Signature Certificate (DSC) of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"The income Tax/PAN, GST registration No. be uploaded online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,vi) A scanned copy of undertaking that I have carefully studied all the terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,offer of the pump along with characteristic curves of the pumping equipment shall be supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Experience having successfully completed similar works during last 7 years ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EMD involved in shape of undertaking affidavit having to prepare date or place of issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
