Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical Bid opening Summry,Virender Kumar Bhardwaj,01-Apr-2021 04:59 PM,technical_69053.pdf,1.0,206825.0,ANIL MAHAJAN,31-Mar-2021 08:09 AM,Rejected-Finance,Rejected being a not lowest contractor,29-Jul-2021 04:28 PM,Finance,Fbos,Virender Kumar Bhardwaj,29-Jul-2021 04:17 PM,finance_69053.pdf,BOQ Comparative Chart,1.0,206745.0,MOHINDER SINGH PATHANIA,INR,"19,717,981",Er. Virender Bhardwaj,Internal,1 DAO 2 HDM 3 Supdtt Gr II 4 AE to EE,Virender Kumar Bhardwaj,29-Jul-2021 04:28 PM,finsummary_69053.pdf (16.75 KB),30-Jul-2021,"INR 19,717,981",365.0,Virender Kumar Bhardwaj,25-Jul-2022 12:47 PM,AOC.pdf (1076.00 KB),AOC,PWD,2021_PWD_45866_2,NIT/NABARD/2020-21-14960-26 dated 17.03.2021,Construction of link road to village Dhurdhala to Naloh in G.P. Chalara Km. 0/0 to 5/0 under NABARD RIDF-XXVI,Er. Virender Bhardwaj,Internal,1 Dealing Hand 2 DAO 3 Supdtt Gr-II 4 HDM 5 AE Dalhousie,Virender Kumar Bhardwaj,20-Apr-2021 03:07 PM,26-Apr-2021 11:30 AM,techsummary_69053.pdf (1352.64 KB),AOC,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,1.0,ICICI BANK,Superintending Engineer 7th Circle HPPWD Dalhousie,Superintending Engineer 7th Circle HPPWD Dalhousie,PWD,NIT/NABARD/2020-21-14960-26 dated 17.03.2021,2021_PWD_45866_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road to village Dhurdhala to Naloh in G.P. Chalara Km. 0/0 to 5/0 under NABARD RIDF-XXVI,Formation cutting C.D. work etc.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,365.0,Dalhousie,176304.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,24-Mar-2021 10:00 AM,01-Apr-2021 11:30 AM,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,NA ,NA ,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,26-Apr-2021 11:30 AM,"3,45,000",No,fixed,,Nil,Nil,AOC
,,,,,2.0,206903.0,JAGSON CONSTRUCTIONS LTD,31-Mar-2021 04:02 PM,Rejected-Finance,Rejected being a not lowest contractor,29-Jul-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,206745.0,MOHINDER SINGH PATHANIA,30-Mar-2021 05:22 PM,Accepted-AOC,Working in progress,25-Jul-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment/online paym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,206346.0,Yashpal,31-Mar-2021 01:46 PM,Rejected-Finance,Rejected being a not lowest contractor,29-Jul-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
