S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,273391.0,R K ENGINNERS SALES LTD,01-Apr-2022 03:29 PM,Rejected-Finance,L3,02-Jul-2022 11:24 AM,ENC P JSV Mandi,Internal,CE PMU Mandi CE SZ Shimla SE ENC P SE PMU SE Nahan EE PMU EE ENCP EE Nahan Dy Controller,Suresh Mahajan,06-May-2022 05:30 PM,06-May-2022 05:35 PM,techsummary_86830.pdf (379.70 KB),Technical,Technical Proceeding,Suresh Mahajan,06-May-2022 05:26 PM,technical_86830.pdf,Finance,Proceeding Financial,Suresh Mahajan,02-Jul-2022 11:21 AM,finance_86830.pdf,BOQ Comparative Chart,02-Jul-2022,"INR 319,636,386",730.0,Suresh Mahajan,02-Jul-2022 11:31 AM,AwardS3.pdf (871.00 KB),Award of Contract,1.0,273993.0,Unipro Techno Infrastructure Pvt Ltd,INR,"294,000,165",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_57549_1,3890-3940,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing LWSS to various villages in GP NaragNohra Pachhad Sirmour,ENC P JSV mandi,Internal,CE PMU JSV mandi CE SZ Shimla SE ENCP SE PMU SE Nahan EE ENCP EE PMU EE Nahan Dy Controller,Suresh Mahajan,02-Jul-2022 11:24 AM,finsummary_86830.pdf (6483.45 KB),AOC,CE PMU JSV Mandi,CE PMU JSV Mandi,1.0,Fee,.pdf,Bid Security,1.0,Prebid,Other,,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing LWSS to various villages in GP NaragNohra Pachhad Sirmour,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing LWSS to various villages in GP NaragNohra,as per tender document ,NA ,"25,34,45,552",Civil Works,NA ,Tender,180.0,730.0,Pachhad,173024.0,CE PMU JSV Mandi ,CE PMU JSV Mandi ,15-Mar-2022 11:00 AM ,CE PMU JSV Mandi,No ,No,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,3890-3940,2022_HPIPH_57549_1,Yes,Global Tenders,Item Rate,Works,3.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,500",Nil,Nil,No,05-Mar-2022 06:00 PM,02-Apr-2022 11:30 AM,05-Mar-2022 06:30 PM,02-Apr-2022 11:00 AM,NA ,NA ,05-Mar-2022 06:30 PM,02-Apr-2022 11:00 AM,06-May-2022 05:35 PM,"25,35,000",No,fixed,,Nil,Nil,AOC
2.0,273503.0,The Spunpipe and Construction Co Baroda Pvt Ltd,01-Apr-2022 04:13 PM,Rejected-Finance,L2,02-Jul-2022 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Cost of bid form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
3.0,273993.0,Unipro Techno Infrastructure Pvt Ltd,01-Apr-2022 03:54 PM,Accepted-AOC,Accepted,02-Jul-2022 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of registration with JSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Annual Turnover of last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Bid form as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Experience similar nature works during last 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of undertaking as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,PreQual/Technical,.pdf,Make model of the proposed pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Flow diagram of WTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
