S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,200856.0,Surinder Pal Dhall,INR,"2,780,201",Finance,BOS,Jeet Singh Thakur,07-Jul-2022 08:07 PM,finance_67048.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,09-Mar-2021 06:57 PM,technical_67048.pdf,1.0,201947.0,Avinash Dhiman,05-Mar-2021 05:43 PM,Rejected-Finance,being 2nd lowest,07-Jul-2022 08:12 PM,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Jul-2022 08:12 PM,finsummary_67048.pdf (140.11 KB),19-Jul-2022,"INR 2,690,552",30.0,Jeet Singh Thakur,19-Jul-2022 03:39 PM,07.16343.pdf (907.00 KB),Annual Maintenance on Parel Bridge to Sarol road Km. 0/0 to 1/100 for the year 2021-22,PWD,2021_PWD_44640_8,No.PWC-WA-II- 14025-14124 dated 10.2.20,Annual Maintenance on Parel Bridge to Sarol road Km. 0/0 to 1/100 for the year 2021-22,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,09-Mar-2021 06:58 PM,15-Mar-2021 11:30 AM,techsummary_67048.pdf (305.56 KB),AOC,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,1.0,DD - Demand Draft,23-Feb-2021 10:00 AM,08-Mar-2021 11:30 AM,23-Feb-2021 10:00 AM,06-Mar-2021 05:00 PM,NA ,NA ,23-Feb-2021 10:00 AM,06-Mar-2021 05:00 PM,15-Mar-2021 11:30 AM,Annual Maintenance on Parel Bridge to Sarol road Km. 0/0 to 1/100 for the year 2021-22,Annual Maintenance on Parel Bridge to Sarol road Km. 0/0 to 1/100 for the year 2021-22,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,"53,850",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,1.0,Date Corrigendum,Date,,PWD,No.PWC-WA-II- 14025-14124 dated 10.2.20,2021_PWD_44640_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",Executive Engineer Chamba Division HPPWD. Chamba,Chamba,No,AOC
,,,,,,,,,,,,,,,,2.0,200856.0,Surinder Pal Dhall,01-Mar-2021 04:24 PM,Accepted-AOC,"L-1,work awarded/completed",19-Jul-2022 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover in last five year years from CA,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Hot Mix Plant, Paver Finisher and road Roller documentary proof for the same",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,,,AOC
