Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Registration with Central Govt or State Govt department/ Undertaking, DSC Auth,PAN,GST,EPF",Executive Engineer,IPH Division Sunder Nagar,"15,78,970",No,fixed,,EE IPH SUnder Nagar,Sunder Nagar,02-Oct-2019 10:00 AM,25-Oct-2019 11:30 AM,02-Oct-2019 10:00 AM,24-Oct-2019 05:00 PM,NA ,NA ,02-Oct-2019 10:00 AM,24-Oct-2019 05:00 PM,23-Nov-2019 03:25 PM,"2,500",EE IPH Sunder Nagar,Sunder Nagar,No,Rejuvenation of LWSS Sunder Nagar Town TEhsil Sunder Nagar Distt mandi,Construction of Civil works Prov laying rising main and pumping machinery including operation and maintence of the scheme for 5 years,Please refer Tender documents. ,NA ,"15,46,47,094",Civil Works,NA ,Tender,120.0,730.0,Sunder Nagar,175018.0,Mandi  ,Chief Engineer office Mandi ,15-Oct-2019 11:00 AM ,Mandi,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",EE IPH SNR ES TEnder-8686-8726 dated 1.10.2019,2019_HPIPH_31903_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,Er. Naveen Puri E-in-C,Internal,Er. Anil Verma EE SNR Er. VK Thakur EE D-1 Sh K R Negi Joint Controller Er Upender Vaidya SE SNR Er Anil Mehta SE PI 1 Er Chatter Singh Thakur SE Mandi Zone Er R K Verma CE DM Er R K Mahajan CE,Anil Verma,20-Jul-2022 03:31 PM,finsummary_45889.pdf (593.63 KB),1.0,134840.0,Lahoty Buildcon Limited,INR,"221,032,083","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",2019_HPIPH_31903_1,EE IPH SNR ES TEnder-8686-8726 dated 1.10.2019,Rejuvenation of LWSS Sunder Nagar Town TEhsil Sunder Nagar Distt mandi,Naveen Puri,Internal,Ramesh Verma Upinder Vaidya Anil Mehta KR Negi Vinood Thakur Rajat Kumar Mukamd Lal,Anil Verma,23-Nov-2019 03:17 PM,23-Nov-2019 03:25 PM,techsummary_45889.pdf (1439.64 KB),1.0,134606.0,HARJEET SINGH,23-Oct-2019 07:00 PM,Rejected-Finance,Other than lowest,20-Jul-2022 03:31 PM,Finance,Two nos BOQ and BOQ comparative chart has been successfully generated and downloaded,Anil Verma,23-Nov-2019 04:01 PM,finance_45889.pdf,BOQ Comparative Chart,Technical,Two nos Technical bid were open all the bidder have fulfilled eligibility y criteria as per NIT,Anil Verma,23-Nov-2019 03:11 PM,technical_45889.pdf,20-Jul-2022,"INR 154,647,094",730.0,Anil Verma,20-Jul-2022 03:33 PM,Award.pdf (441.00 KB),Tender awarded to lowest bidder,AOC
,,.pdf,"Cost of tender and ,Earnest money",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,134840.0,Lahoty Buildcon Limited,24-Oct-2019 12:27 PM,Accepted-AOC,Lowest bidder,20-Jul-2022 03:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Annual Turnover for last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Experience of completed Similar works of last 7 years and certificate of detail of works in progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Evidence of ownership of construction equipment and detail of technical personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Authority to seek reference from bank Information regarding litigation or arbitration during last 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proposed methodology and Programme of construction and curve chart of Pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking regarding I have studied all the terms and condition in bid documents before quoted rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
