Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
Technical,Attached,Vivek Sharma,20-Feb-2021 08:23 PM,technical_66126.pdf,1.0,198536.0,Akshay Sharma,13-Feb-2021 05:08 PM,Rejected-Finance,l2,03-Jul-2022 02:06 PM,1.0,198492.0,BALAL,INR,"912,042.95",Finance,Attached,Vivek Sharma,20-Jan-2022 07:23 PM,finance_66126.pdf,BOQ Comparative Chart,EE Hamirpur,Internal,Award,Vivek Sharma,03-Jul-2022 02:06 PM,finsummary_66126.pdf (448.58 KB),03-Jul-2022,"INR 912,042",30.0,Vivek Sharma,03-Jul-2022 02:09 PM,AwardFFBari.pdf (449.00 KB),Award,PWD,2021_PWD_44107_1,C/o link road to village HB Bari km 0/0 To 2/270,C/o link road to village Harizan Basti Bari km 0/0 to 2/270,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,20-Feb-2021 08:48 PM,22-Feb-2021 11:30 AM,techsummary_66126.pdf (1807.05 KB),AOC,C/o link road to village Harizan Basti Bari km 0/0 to 2/270,SH Providing and laying 80mm thick paver blocks at RD 0/455 to 0/615,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,C/o link road to village HB Bari km 0/0 To 2/270,2021_PWD_44107_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,08-Feb-2021 09:00 AM,15-Feb-2021 11:30 AM,08-Feb-2021 09:00 AM,15-Feb-2021 10:30 AM,NA ,NA ,08-Feb-2021 09:00 AM,15-Feb-2021 10:30 AM,22-Feb-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Detail of machinery as per SBD with proof,"10,400",No,fixed,,EE Hamirpur,EE Hamirpur,350.0,EE Hamirpur,EE Hamirpur,No,1.0,DD - Demand Draft,AOC
,,,,,2.0,198521.0,AMAN SHARMA GOVT.CONTRACTOR,14-Feb-2021 10:38 PM,Rejected-Finance,l3,03-Jul-2022 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,198492.0,BALAL,13-Feb-2021 12:01 PM,Accepted-AOC,l1,03-Jul-2022 02:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money authorized Bank,,,,,,,,,,,,,AOC
,,,,,4.0,198602.0,BRAHAM DASS SHARMA,14-Feb-2021 04:55 PM,Rejected-Finance,l5,03-Jul-2022 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,AOC
,,,,,5.0,198487.0,SUBHASH CHAND GOVT CONTRACTOR,13-Feb-2021 10:58 AM,Rejected-Technical,Rejected,20-Feb-2021 08:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,AOC
,,,,,6.0,198616.0,TAIN SINGH,14-Feb-2021 07:22 PM,Rejected-Finance,l3,03-Jul-2022 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender authorized Bank,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-19,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC
