Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,PWD-TA-Tender-2021-22- 9673-81 dated 08.11.2021,2021_PWD_53892_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Dalhousie,Executive Engineer HPPWD Division Dalhousie,"5,000",Nil,Nil,No,C/O Link road from Balana to Balli Km. 0/0 to 5/490,"P/L GSB, WBM-III and 30 mm thick Bitumen concrete and Drain) under Rural Urban Mission",Please refer Tender documents. ,NA ,"1,95,93,162",Civil Works,NA ,Tender,75.0,180.0,Dalhousie,176304.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Dalhousie,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through online,23-Nov-2021 05:00 PM,02-Dec-2021 03:30 PM,23-Nov-2021 05:00 PM,02-Dec-2021 03:00 PM,23-Nov-2021 05:00 PM ,01-Dec-2021 05:00 PM ,23-Nov-2021 05:00 PM,02-Dec-2021 03:00 PM,15-Dec-2021 11:30 AM,"3,91,900",No,fixed,,Nil,Nil,AOC,PWD,2021_PWD_53892_1,PWD-TA-Tender-2021-22- 9673-81 dated 08.11.2021,C/O Link road from Balana to Balli Km. 0/0 to 5/490,Er. Virender Bhardwaj,Internal,1 DAO 2 HDM 3 Supdtt Gr II,Virender Kumar Bhardwaj,10-Dec-2021 01:48 PM,15-Dec-2021 11:30 AM,techsummary_80663.pdf (131.26 KB),Executive Engineer,Internal,"TA, HDM, Supdtt. GR-II,DAO EE",Virender Kumar Bhardwaj,12-Jul-2022 01:49 PM,finsummary_80663.pdf (18.61 KB),12-Jul-2022,"INR 15,454,942",180.0,Virender Kumar Bhardwaj,12-Jul-2022 02:26 PM,AOC.pdf (995.00 KB),AOC,1.0,245868.0,Ms R.K. Mahajan,29-Nov-2021 03:27 PM,Rejected-Technical,Resposnive,10-Dec-2021 01:48 PM,Technical,TBOS,Virender Kumar Bhardwaj,10-Dec-2021 01:28 PM,technical_80663.pdf,Finance,summary,Virender Kumar Bhardwaj,12-Jul-2022 01:45 PM,finance_80663.pdf,BOQ Comparative Chart,1.0,245450.0,pritam singh thkur,INR,"16,993,501",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,246685.0,NAVNEET SHARMA,02-Dec-2021 12:12 PM,Rejected-Technical,Non responsive du to higher class,10-Dec-2021 01:48 PM,,,,,,,,,,,,2.0,246034.0,Yash Paul Govt.Contractor,INR,"15,454,942",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,246261.0,Navneet Thakur,01-Dec-2021 08:40 PM,Rejected-Technical,Non responsive du to higher class,10-Dec-2021 01:48 PM,,,,,,,,,,,,3.0,246239.0,sanjeev singh govt contractor,INR,"15,993,027",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,245450.0,pritam singh thkur,28-Nov-2021 10:33 AM,Accepted-AOC,Other Then Lowest,12-Jul-2022 02:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,246239.0,sanjeev singh govt contractor,02-Dec-2021 10:49 AM,Accepted-AOC,Other Then Lowest,12-Jul-2022 02:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit regarding information furnished with the bid duly signed by Notary/Executive Magistrate,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,246034.0,Yash Paul Govt.Contractor,02-Dec-2021 02:08 PM,Accepted-AOC,Work in Progress,12-Jul-2022 02:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand duly signed by Notary/Executive,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done at Least one similar work of forty percent of the estimated value of work,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/Report of Charted Accountant showing total annual volume in last five years,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
