Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,2021_PWD_23856_2,CE/Commn/30/RIDF27/1_Majuli-1,Dyke from Pohardia (At Majuli Road) to Alimur,1.0,129904.0,DONY GOHAIN,INR,36003600.0,Technical,TBE,CHANDAN DEKA,03-Feb-2022 05:13 PM,technical_36576.pdf,Finance,Fin Op,Munindra Barman,05-Feb-2022 11:44 AM,,BOQ Comparative Chart,D. Bhuyan,Internal,,CHANDAN DEKA,03-Feb-2022 05:28 PM,03-Feb-2022 05:30 PM,techsummary_36576.pdf (447.62 KB),16-Jul-2022,INR 3.60036E+7,365.0,CHANDAN DEKA,16-Jul-2022 04:24 PM,Majuli-2.pdf (471.00 KB),1,129880,DIPANKAR BORA,17-Jan-2022 06:01 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,D. Bhuyan,Internal,,CHANDAN DEKA,16-Jul-2022 04:20 PM,finsummary_36576.pdf (470.83 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Bidding document,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,"C.E. PWD (Roads), Assam","O/o the C.E. PWD (Roads), Assam","8,00,000",Yes,fixed,,"Chief Engineer, PWD, (Roads), Assam",GUWAHATI,Dyke from Pohardia (At Majuli Road) to Alimur,Construction of Brahmaputra Dyke from Pohardia (At Majuli Road) to Alimur (At NLK Road) under RIDF-XXVII of NABARD for the year 2021-22 (L 2.80Km) (from Ch. 0km to Ch. 2800m),Please refer Tender documents. ,NA ,"4,00,04,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Majuli,785105.0,NA ,NA ,NA ,"O/o the C.E. PWD (Roads), Assam",No ,No,28-Dec-2021 06:00 PM,19-Jan-2022 12:00 PM,28-Dec-2021 06:00 PM,18-Jan-2022 02:00 PM,28-Dec-2021 06:00 PM ,18-Jan-2022 12:00 PM ,28-Dec-2021 06:00 PM,18-Jan-2022 02:00 PM,03-Feb-2022 05:30 PM,1.0,EMD,Technical Bid,,1.0,DD - Demand Draft,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,CE/Commn/30/RIDF27/1_Majuli-1,2021_PWD_23856_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,129904,DONY GOHAIN,18-Jan-2022 12:47 PM,Accepted-AOC,Awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,130088,Junaki Doley,18-Jan-2022 12:57 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,.pdf,Technical Qualification details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,129242,Kuladhar Boruah,08-Jan-2022 03:34 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,2.0,Finance,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,129946,MOON DAS,17-Jan-2022 08:51 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,129264,M/s R.D.Constructions,17-Jan-2022 09:06 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,130075,Mun doley,18-Jan-2022 12:07 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,129885,Raju Khanikar,17-Jan-2022 06:34 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,129812,SRI BEDANTA BORAH,17-Jan-2022 04:01 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,129678,Suraj Agarwalla,15-Jan-2022 07:49 PM,Rejected-AOC,Not awarded,16-Jul-2022 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
