Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
C/O MATA VAISHNOO DEVI MANDIR CHOWK TO HARIZAN BASTI SUGLANI DHANGOTA KM. 0/0 TO 3/500.,"P/L G.S.B., W.M.M. AND P/L TARRING IN KM. 3/0 TO 3/500) (UNDER O.T.M.N.P HEAD).",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,PWD,C/O MATA VAISHNOO DEVI MANDIR CHOWK TO HARIZAN BAS,2022_PWD_60249_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,05-May-2022 10:30 AM,12-May-2022 11:30 AM,05-May-2022 10:30 AM,12-May-2022 10:30 AM,NA ,NA ,05-May-2022 10:30 AM,12-May-2022 10:30 AM,23-May-2022 11:30 AM,"11,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,1.0,281818.0,Abhishek thakur,11-May-2022 09:44 PM,Rejected-Technical,Non Responsive,21-May-2022 02:44 PM,Technical,Attached,Dev Raj,21-May-2022 02:42 PM,technical_91055.pdf,Finance,Attached,Dev Raj,27-May-2022 01:26 PM,finance_91055.pdf,BOQ Comparative Chart,1.0,281462.0,sunil kumar,INR,"873,650",PWD,2022_PWD_60249_1,C/O MATA VAISHNOO DEVI MANDIR CHOWK TO HARIZAN BAS,C/O MATA VAISHNOO DEVI MANDIR CHOWK TO HARIZAN BASTI SUGLANI DHANGOTA KM. 0/0 TO 3/500.,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,21-May-2022 02:44 PM,23-May-2022 11:30 AM,techsummary_91055.pdf (996.08 KB),Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Dev Raj,27-May-2022 01:30 PM,finsummary_91055.pdf (337.79 KB),11-Jul-2022,"INR 873,650",60.0,Dev Raj,11-Jul-2022 10:33 AM,A.O.C.pdf (632.00 KB),Attached,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,281484.0,BALJEET SINGH,10-May-2022 04:42 PM,Rejected-Finance,L1L2,27-May-2022 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,AOC,3.0,281719.0,Devender Kumar,11-May-2022 02:49 PM,Rejected-Technical,Non Responsive,21-May-2022 02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,AOC,4.0,281462.0,sunil kumar,10-May-2022 11:14 AM,Accepted-AOC,L1,11-Jul-2022 10:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magis,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,11. Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Any other information bidder/ firm may like to be provide.,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
