Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
30-May-2022,"INR 12,076,769",90.0,Bhupender Singh,13-Jul-2022 04:05 PM,kkkk.pdf (594.00 KB),AWARD OF CONTRACT,Parveen Kumar Verma Exen.,Internal,"Ram Swaroop Supdt, Padam DHDM, Deepak Sharma DAO Parveen Kumar Verma Exen.",Parveen Kumar Verma,17-May-2022 01:44 PM,finsummary_91246.pdf (290.23 KB),Er. P.K.Verma Exen.,Internal,"Sh. R.S. Thakur, SUPDT, Derepak Sharma DAO, Padam Sharma DHDM, ParveenKumar Verma Executive ENgineer",Parveen Kumar Verma,17-May-2022 11:45 AM,17-May-2022 11:50 AM,techsummary_91246.pdf (388.35 KB),PWD,2022_PWD_60398_1,SD-III-CB-Tender-2919-38 dt. 4-05-2022,Construction of Multi story parking and Office accommodation (Armsdale Phase-III).(SH- Providing and Fixing Acoustic finishing etc. in conference hall).,1.0,281870.0,Kamal Gangta Contractor,INR,"12,507,289",Finance,Financial Evaluation Summary,Parveen Kumar Verma,17-May-2022 01:40 PM,None,BOQ Comparative Chart,1.0,Tender Revocation,Due to wrong uploaded technical summary,15-May-2022 11:10 AM,TESAcc.pdf ,374.41,Technical Opening,Technical,Bid Opening Summary,Parveen Kumar Verma,17-May-2022 11:40 AM,technical_91246.pdf,1.0,281870.0,Kamal Gangta Contractor,12-May-2022 04:23 PM,Accepted-AOC,L1,13-Jul-2022 04:05 PM,AOC,06-May-2022 06:00 PM,13-May-2022 11:00 AM,06-May-2022 06:00 PM,13-May-2022 10:00 AM,NA ,NA ,06-May-2022 06:00 PM,13-May-2022 10:00 AM,17-May-2022 11:50 AM,PWD,SD-III-CB-Tender-2919-38 dt. 4-05-2022,2022_PWD_60398_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,ICICI BANK,"2,41,550",No,fixed,,Nil,Nil,Construction of Multi story parking and Office accommodation (Armsdale Phase-III).(SH- Providing and Fixing Acoustic finishing etc. in conference hall).,Construction of Multi story parking and Office accommodation (Armsdale Phase-III).(SH- Providing and Fixing Acoustic finishing etc. in conference hall).,As per SBD ,NA ,"1,20,76,769",Civil Works - Buildings,NA ,Tender,75.0,30.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Corrigendum,17-May-2022 11:29 AM,TESAcc.pdf ,374.41,Technical Opening,,,,,,2.0,281878.0,Om Parkash Sharma,12-May-2022 04:09 PM,Rejected-Finance,L2,17-May-2022 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical Bid,Technical Bid,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281959.0,Om Parkash Sharma And Sons,12-May-2022 04:42 PM,Rejected-Technical,Being Class A contractor he is not eligbble to participate since the same for class C hence rejected,17-May-2022 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
