Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
27-Jan-2022 06:00 PM,05-Mar-2022 03:30 PM,27-Jan-2022 06:00 PM,05-Mar-2022 03:00 PM,NA ,NA ,27-Jan-2022 06:00 PM,05-Mar-2022 03:00 PM,28-Mar-2022 04:35 PM,Chief Engineer PMU JSV Mandi,Chief Engineer PMU JSV Mandi,1.0,Fee,.pdf,Bid security,"2,500",Nil,Nil,No,1.0,ICICI BANK,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing lift Water supply scheme to various WSS under GP Bagdhar,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing lift Water supply scheme to various WSS under G.P. Bagdha,as per tender socuments ,NA ,"60,55,55,000",Civil Works,NA ,Tender,180.0,730.0,Mandi,175001.0,Chief Engineer PMU JSV Mandi ,Chief Engineer PMU JSV Mandi ,08-Feb-2022 11:00 AM ,Chief Engineer PMU JSV Mandi,No ,No,1.0,Corrigendum 3,Date,,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,3106-3155,2022_HPIPH_56131_1,Yes,Global Tenders,Lump-sum,Works,3.0,No,No,Online,No,No,No,"60,55,000",No,fixed,,Nil,Nil,AOC,ENC P JSV Mandi,Internal,CE PMU JSV Mandi CE DZ Dharamshala SE ENP P SE PMU SE Chamba EE ENC P EE PMU EE Dalhousie Dy Controller,Suresh Mahajan,02-Jul-2022 11:19 AM,finsummary_84369.pdf (3110.53 KB),1.0,267954.0,Unipro Techno Infrastructure Pvt Ltd,INR,"714,558,257",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_56131_1,3106-3155,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components Providing lift Water supply scheme to various WSS under GP Bagdhar,Technical,Technical Proceeding,Suresh Mahajan,28-Mar-2022 04:30 PM,technical_84369.pdf,Finance,Financial Proceeding,Suresh Mahajan,02-Jul-2022 11:15 AM,finance_84369.pdf,BOQ Comparative Chart,02-Jul-2022,"INR 719,714,853",730.0,Suresh Mahajan,02-Jul-2022 11:29 AM,AwardD1.pdf (918.00 KB),Award of contract,1.0,265653.0,HARJEET SINGH,04-Mar-2022 03:56 PM,Rejected-Finance,L2,02-Jul-2022 11:19 AM,ENC P JSV Mandi,Internal,CE PMU JSV Mandi CE DZ Dharamshala SE ENCP JSV Mandi SE PMU SE Chamba EE ENC P Mandi EE PMU Mandi EE Dalhousie Dy Controller,Suresh Mahajan,28-Mar-2022 04:33 PM,28-Mar-2022 04:35 PM,techsummary_84369.pdf (3655.92 KB),AOC
,,,,,,,,,,,,,.pdf,Cost of bid form,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,ESMP,Other,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266612.0,HS Engineers and Associates,05-Mar-2022 01:36 PM,Rejected-Finance,L3,02-Jul-2022 11:19 AM,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of certificate or registration with Jal Shakti Vibhag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,267828.0,R K ENGINNERS SALES LTD,04-Mar-2022 05:54 PM,Rejected-Finance,L4,02-Jul-2022 11:19 AM,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of EPF PAN GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,267954.0,Unipro Techno Infrastructure Pvt Ltd,05-Mar-2022 12:10 PM,Accepted-AOC,Accepted,02-Jul-2022 11:29 AM,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Annual turnover of three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Bis form as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Experience of similar nature of work within last 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make model of the proposed pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Flow diagram of the WTP booster stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
