Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Provison pf paver flooring to the open Car parking near Rotary chowk ward no. 1 MC Una,Provison pf paver flooring to the open Car parking near Rotary chowk ward no. 1 MC Una,Please refer Tender documents. ,NA ,"18,79,365",Civil Works,NA ,Rate Contract,90.0,30.0,ward no. 1,174303.0,NA ,NA ,NA ,O/o Assistant Engineer MC Una,No ,No,"37,600",No,fixed,,EO MC Una,Una,1.0,DD - Demand Draft,23-Jun-2022 09:00 AM,12-Jul-2022 01:00 PM,23-Jun-2022 09:00 AM,11-Jul-2022 06:00 PM,NA ,NA ,23-Jun-2022 01:00 PM,11-Jul-2022 06:00 PM,14-Jul-2022 12:30 PM,Assistant Engineer MC Una,O/o EO MC Una near SD School Una Distt Una HP,"1,000",EO MC Una,Una,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,MCU/E-TENDER/2022/5087-93 dated 22.06.2022,2022_UDDHP_62007_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD in shape of FDR only,AOC,Smt. Pushpa Devi,Internal,VP EO ME JE,Ashwani Kumar,14-Jul-2022 12:24 PM,14-Jul-2022 12:30 PM,techsummary_93556.pdf (382.85 KB),1,290855,Jaiveer Singh,11-Jul-2022 03:18 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,Finance,Ten no.s bids admitted for financial evaluation.,Ashwani Kumar,29-Jul-2022 01:02 PM,finance_93556.pdf,BOQ Comparative Chart,Technical,All ten bids technically admitted for further processing.,Ashwani Kumar,14-Jul-2022 12:22 PM,None,29-Jul-2022,"INR 1,879,365",30.0,Ashwani Kumar,29-Jul-2022 02:40 PM,carparking.pdf (2671.00 KB),TOC decided to award this work to lowest,Smt. Pushpa Devi,Internal,VP EO ME JE,Ashwani Kumar,29-Jul-2022 01:10 PM,finsummary_93556.pdf (382.85 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,2022_UDDHP_62007_1,MCU/E-TENDER/2022/5087-93 dated 22.06.2022,Provison pf paver flooring to the open Car parking near Rotary chowk ward no. 1 MC Una,1.0,290879.0,Saurabh Loomba,INR,"996,822.5",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Cost in shape of DD only,AOC,,,,,,,,2,290776,MAHESH ANGRA,11-Jul-2022 10:48 AM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid contractor Enlistment copy,AOC,,,,,,,,3,290845,MANI GOVT. CONTRACTOR,11-Jul-2022 02:37 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EPFO Registration copy,GST Copy, PAN Copy",AOC,,,,,,,,4,290898,MOHIT BEDI,11-Jul-2022 04:34 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding completion of work within time limit after AOC and correction of bid.,AOC,,,,,,,,5,290692,PRABHJOT SINGH GOVT CONTRACTOR,11-Jul-2022 04:55 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate at least 2 no. works of similar nature duly issued by competent authority.,AOC,,,,,,,,6,290748,Prafull Bedi,11-Jul-2022 04:49 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,7,290818,ROBIN SHARMA GOVT. CONTRACTOR,11-Jul-2022 01:25 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,290879,Saurabh Loomba,11-Jul-2022 03:44 PM,Accepted-AOC,Award to Lowest,29-Jul-2022 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,290874,SHIVAM OHRI GOVT CONTRACTOR,11-Jul-2022 03:39 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,290867,Surinder Kumar Thakur,11-Jul-2022 03:37 PM,Rejected-Finance,Due to Higher side rates,29-Jul-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
