S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,24-May-2022 05:00 PM,31-May-2022 11:30 AM,24-May-2022 05:00 PM,30-May-2022 05:00 PM,NA ,NA ,24-May-2022 05:00 PM,30-May-2022 05:00 PM,16-Jun-2022 11:30 AM,Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar","50,500",No,fixed,,Nil,Nil,PWD,PW-JND-B and R-EA-I-NIT- 5041-65 dt. 18-05-2022,2022_PWD_61027_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,Construction of link road from village Masoli Bagla Machhyal roa km. 0/0 to 4/0,Construction of 6.00 mtr. span RCC slab culvert including approaches at km. 3/285),AS Per SBD ,NA ,"25,22,788",Civil Works - Roads,NA ,Tender,90.0,90.0,Masoli,175015.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),AOC,Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,09-Jun-2022 05:17 PM,16-Jun-2022 11:30 AM,techsummary_92123.pdf (321.40 KB),PWD,2022_PWD_61027_1,PW-JND-B and R-EA-I-NIT- 5041-65 dt. 18-05-2022,Construction of link road from village Masoli Bagla Machhyal roa km. 0/0 to 4/0,18-Jul-2022,"INR 1,864,845",90.0,Sanjiv Kumar,23-Jul-2022 12:30 PM,awardletter.pdf (292.00 KB),Award letter issued as lowest bidder,Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,17-Jun-2022 04:44 PM,finsummary_92123.pdf (208.87 KB),1.0,284384.0,Ajay Kumar,INR,"1,864,845",Finance,Financial bid opening summary,Sanjiv Kumar,17-Jun-2022 04:06 PM,finance_92123.pdf,BOQ Comparative Chart,1.0,284384.0,Ajay Kumar,30-May-2022 10:29 AM,Accepted-AOC,L-1,23-Jul-2022 12:30 PM,Technical,Technical bid opening summary,Sanjiv Kumar,03-Jun-2022 12:49 PM,technical_92123.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,284472.0,Anil Kumar,30-May-2022 01:30 PM,Rejected-Technical,Non Responsive,09-Jun-2022 05:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,284229.0,Ayush Thakur,30-May-2022 02:23 PM,Rejected-Finance,Rejected due to L-3,17-Jun-2022 04:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,284354.0,BHUMI SINGH,29-May-2022 06:46 PM,Rejected-Technical,Non Responsive,09-Jun-2022 05:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,284388.0,Vishwas Rathore,30-May-2022 10:14 AM,Rejected-Finance,Rejected due to L-2,17-Jun-2022 04:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
