Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
28-Jul-2022,"INR 1,934,646",60.0,Naveen Singh Kaundal,28-Jul-2022 04:02 PM,HPP-MT-AOC.pdf (238.00 KB),AOC,Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,02-Nov-2021 12:25 PM,finsummary_78594.pdf (1006.86 KB),Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,18-Oct-2021 12:41 PM,18-Oct-2021 03:00 PM,techsummary_78594.pdf (520.59 KB),PWD,2021_PWD_52560_2,PW-SRDD-CB-CTR-2021-8398-447 dated 02-09-2021,Metalling Tarring in Link Road Hiranagar petrol pump to Jablog in km. 0/00 to 0/750,1.0,238521.0,Om Prakash,INR,"1,741,181",Finance,Bid opening summary,Naveen Singh Kaundal,19-Oct-2021 04:18 PM,finance_78594.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Naveen Singh Kaundal,04-Oct-2021 02:48 PM,technical_78594.pdf,1,238610,ASHOK KUMAR,28-Sep-2021 02:19 PM,Rejected-Finance,L8 Bidder,02-Nov-2021 12:25 PM,AOC,"36,000",No,fixed,,Nil,Nil,Executive Engineer,Shimla Rural Division HPPWD Dhami,Metalling Tarring in Link Road Hiranagar petrol pump to Jablog in km. 0/00 to 0/750,"SH- Consruction of R/Wall at Rd. 0/025 to 0/040, Providing and laying soling G-III, Tarring and PCC V-Shape drain in Km. 0/00 to 0/750",as per tender documents ,NA ,"19,34,646",Civil Works - Roads,NA ,Tender,75.0,60.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No,PWD,PW-SRDD-CB-CTR-2021-8398-447 dated 02-09-2021,2021_PWD_52560_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,21-Sep-2021 05:00 PM,29-Sep-2021 11:00 AM,21-Sep-2021 05:00 PM,28-Sep-2021 06:00 PM,NA ,NA ,21-Sep-2021 05:00 PM,28-Sep-2021 06:00 PM,18-Oct-2021 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,238608,Gulab Chand Sharma,28-Sep-2021 02:52 PM,Rejected-Finance,L2 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,238230,Heera Singh Kaundal,27-Sep-2021 01:01 PM,Rejected-Finance,L10 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,238198,Hemant Sharma,27-Sep-2021 12:01 PM,Rejected-Finance,L12 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,237530,JAI PRAKASH SHARMA,27-Sep-2021 05:50 PM,Rejected-Finance,L7 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,238386,Jeet Singh Thakur,28-Sep-2021 03:20 PM,Rejected-Finance,The bidder has given written request to this office that he has no objection if the tender will be warded another L1 bidder Sh. Om Prakash Thakur.,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,237663,kamal kumar,28-Sep-2021 02:35 PM,Rejected-Finance,L4 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,238406,Karnail Singh,27-Sep-2021 06:12 PM,Rejected-Finance,L5 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,238494,Lalit Sharma,28-Sep-2021 01:46 PM,Rejected-Finance,L6 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,238443,NOKH RAM SHARMA,28-Sep-2021 01:10 PM,Rejected-Finance,L2 Bidder,02-Nov-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
