Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
31-May-2022 12:30 PM,08-Jun-2022 11:30 AM,31-May-2022 12:30 PM,08-Jun-2022 11:00 AM,NA ,NA ,31-May-2022 01:00 PM,08-Jun-2022 11:00 AM,09-Jun-2022 01:00 PM,PWD,NIT No.5158-5217 DT.26-05-2022-Bhawarna,2022_PWD_61281_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing and laying Annual Surfacing (Periodic Maintenance) on Bhadal Devi to Saloh Km 0/0 to 1/150 under Rural roads for the year 2022-23 in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km 0/0 to 1/150,Please refer Tender documents. ,NA ,"9,73,237",Civil Works - Roads,NA ,Tender,75.0,15.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,"19,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,AOC,PWD,2022_PWD_61281_1,NIT No.5158-5217 DT.26-05-2022-Bhawarna,Providing and laying Annual Surfacing (Periodic Maintenance) on Bhadal Devi to Saloh Km 0/0 to 1/150 under Rural roads for the year 2022-23 in the state of HP,Sh. Manish Sehgal,Internal,Ashok Kumar Supdt Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Jr Asstt,Manish Sehgal,09-Jun-2022 12:41 PM,09-Jun-2022 01:00 PM,techsummary_92499.pdf (457.71 KB),Sh. Manish Sehgal,Internal,,Manish Sehgal,14-Jul-2022 12:05 PM,finsummary_92499.pdf (113.73 KB),14-Jul-2022,"INR 1,658,654.74",15.0,Manish Sehgal,14-Jul-2022 12:06 PM,AOC.pdf (237.00 KB),AOC,Finance,Summary,Manish Sehgal,14-Jul-2022 12:00 PM,finance_92499.pdf,BOQ Comparative Chart,1.0,285653.0,Sanjeev,INR,"1,658,655",1.0,285100.0,M/s Kamala Enterprises,07-Jun-2022 10:16 AM,Rejected-Finance,Bidder Rank-L2,14-Jul-2022 12:05 PM,Technical,Summary,Manish Sehgal,09-Jun-2022 12:40 PM,technical_92499.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285653.0,Sanjeev,07-Jun-2022 09:51 PM,Accepted-AOC,Bidder Rank-L1,14-Jul-2022 12:06 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
