Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,SD-III-(T)-6231-48 dt. 31-5-2022,2022_PWD_61344_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,03-Jun-2022 10:00 AM,09-Jun-2022 11:00 AM,03-Jun-2022 10:30 AM,08-Jun-2022 06:00 PM,NA ,NA ,03-Jun-2022 10:30 AM,08-Jun-2022 06:00 PM,17-Jun-2022 04:50 PM,1.0,ICICI BANK,"Construction of Multi-story parking and office accommodation Armsdale building Phase-III at H.P Sectt. Shimla SH Disposal of excavated materials malba from scoter parking, front, road side and all floors etc. of Armsdale Phase III.","Construction of Multi-story parking and office accommodation Armsdale building Phase-III at H.P Sectt. Shimla SH Disposal of excavated materials malba from scoter parking, front, road side and all floors etc. of Armsdale Phase III.",SBD ,NA ,"25,12,106",Civil Works - Bridges,NA ,Tender,75.0,30.0,Armsdale,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"50,250",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"1,500",Nil,Nil,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC,"ParveenKumarvermaE.E,",Internal,PadamSharmaHDMR.K.Thakur Supdt.DeepakSharmaSr.DAOParveenKumarVermaE.E.,Bhupender Singh,17-Jun-2022 04:45 PM,17-Jun-2022 04:50 PM,techsummary_92616.pdf (396.13 KB),PWD,2022_PWD_61344_1,SD-III-(T)-6231-48 dt. 31-5-2022,"Construction of Multi-story parking and office accommodation Armsdale building Phase-III at H.P Sectt. Shimla SH Disposal of excavated materials malba from scoter parking, front, road side and all floors etc. of Armsdale Phase III.",11-Jul-2022,"INR 2,512,106",30.0,Parveen Kumar Verma,19-Jul-2022 11:36 AM,AOC.pdf (484.00 KB),AWARD OF CONTRACT,PKvermaEE,Internal,PadamSharmaHDMRKTHakurSUPDT.DeepakSharmaSRDAOPKVERMAEE,Parveen Kumar Verma,18-Jun-2022 01:15 PM,finsummary_92616.pdf (284.78 KB),1.0,285678.0,baru ram,08-Jun-2022 04:37 PM,Rejected-Finance,L3,18-Jun-2022 01:15 PM,Technical,Bid Opening Summary,Bhupender Singh,17-Jun-2022 04:40 PM,technical_92616.pdf,1.0,285559.0,Mohmad Kamran,INR,"2,410,371",Finance,BOS,Parveen Kumar Verma,17-Jun-2022 05:00 PM,finance_92616.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285556.0,FURKAN AHEMED,07-Jun-2022 10:29 AM,Rejected-Finance,L2,18-Jun-2022 01:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285559.0,Mohmad Kamran,08-Jun-2022 01:19 PM,Accepted-AOC,L1,19-Jul-2022 11:36 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Mobile Number and Full Address,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
