Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,summary,Gurbax Singh,20-May-2022 12:15 PM,finance_90978.pdf,BOQ Comparative Chart,Technical,proceeding,Gurbax Singh,20-May-2022 10:43 AM,technical_90978.pdf,11-Jul-2022,"INR 163,315,150",365.0,Gurbax Singh,11-Jul-2022 10:33 AM,awardletter.pdf (798.00 KB),awarded to RPP Infra Projects Limited,ce,Internal,AE d dharmasala zone se circle nurpur EE D Dzone AC Dzone EE indora,Gurbax Singh,20-May-2022 10:52 AM,20-May-2022 11:00 AM,techsummary_90978.pdf (963.82 KB),1.0,281739.0,National India Construction Co.,12-May-2022 08:46 PM,Rejected-AOC,REJECTED,11-Jul-2022 10:33 AM,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",2022_HPIPH_60194_1,EA-I/Tender/2022-23-1251-80,Providing functional house hold tap Connection (FHTC) to various villages of Indora area in Tehsil Indora Distt. Kangra H.P. Under Jal Jeevan Mission,1.0,281852.0,RPP Infra Projects Limited,INR,"171,033,517",CE,Internal,SE(D) SE EE EE(D),Gurbax Singh,11-Jul-2022 10:30 AM,finsummary_90978.pdf (97.31 KB),AOC,"16,33,152",No,fixed,,Nil,Nil,Providing functional house hold tap Connection (FHTC) to various villages of Indora area in Tehsil Indora Distt. Kangra H.P. Under Jal Jeevan Mission,Providing functional house hold tap Connection (FHTC) to various villages of Indora area in Tehsil Indora Distt. Kangra H.P. (Under Jal Jeevan Mission),Please refer Tender documents. ,NA ,"16,33,15,150",Civil Works,NA ,Tender,120.0,365.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER JAL SHAKTI DIVISION INDORA,No ,No,"2,500",Nil,Nil,No,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",EA-I/Tender/2022-23-1251-80,2022_HPIPH_60194_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,regarding correction in item 16,Other,,1.0,ICICI BANK,30-Apr-2022 06:00 PM,13-May-2022 11:30 AM,30-Apr-2022 06:00 PM,13-May-2022 11:00 AM,NA ,NA ,30-Apr-2022 06:00 PM,13-May-2022 11:00 AM,20-May-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,The Bid security in favor of Executive Engineer Jal Shakti Division Indora shall be submitted,EXECUTIVE ENGINEER,JAL SHAKTI DIVISION INDORA,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,281852.0,RPP Infra Projects Limited,12-May-2022 06:53 PM,Accepted-AOC,AWARDED,11-Jul-2022 10:33 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online mode (e-payment),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281815.0,S.k.sharma contractor and engineer,12-May-2022 10:12 PM,Rejected-AOC,REJECTED,11-Jul-2022 10:33 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration with Jal Shakti Vibhag or any other state/central govt. deptt.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,281472.0,Unipro Techno Infrastructure Pvt Ltd,12-May-2022 06:43 PM,Rejected-AOC,REJECTED,11-Jul-2022 10:33 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three year,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience certificate as per Pre-qualification criteria, Similar nature of work",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST Registration",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other Condition as per NIT Form 6, 12, Technical specification, data sheet",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
