Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Summary,Manish Sehgal,04-Jul-2022 01:05 PM,finance_80104.pdf,BOQ Comparative Chart,1.0,242900.0,Navneet Thakur,INR,"6,417,120",Technical,Summary,Manish Sehgal,09-Dec-2021 04:33 PM,technical_80104.pdf,1.0,242900.0,Navneet Thakur,17-Nov-2021 07:36 PM,Accepted-AOC,Bidder Rank-L1,04-Jul-2022 04:06 PM,04-Jul-2022,"INR 6,417,120",90.0,Manish Sehgal,04-Jul-2022 04:06 PM,AOC.pdf (359.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,04-Jul-2022 01:06 PM,finsummary_80104.pdf (115.10 KB),Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,09-Dec-2021 04:34 PM,09-Dec-2021 04:40 PM,techsummary_80104.pdf (907.09 KB),PWD,2021_PWD_53535_1,NIT NO.15812-71 DT.05.11.2021-BHAWARNA,"Providing and laying Annual Surfacing (Preiodic Maintenance) on Maniara Thandol via Panchayat road Km 1/0 to 1/600, Link road to village Battal Km 0/0 to 1/200, Link road to village Ghadoral Km 0/0 to 1/0 and Patbag to Salan Machlehar road Km 1/0 to",AOC,"Providing and laying Annual Surfacing (Preiodic Maintenance) on Maniara Thandol via Panchayat road Km 1/0 to 1/600, Link road to village Battal Km 0/0 to 1/200, Link road to village Ghadoral Km 0/0 to 1/0 and Patbag to Salan Machlehar road Km 1/0 to",Providing and laying Tack coat and Bituminous Concrete,Please refer Tender documents. ,NA ,"39,07,040",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,12-Nov-2021 04:00 PM,18-Nov-2021 11:30 AM,12-Nov-2021 04:05 PM,18-Nov-2021 11:00 AM,NA ,NA ,12-Nov-2021 04:30 PM,18-Nov-2021 11:00 AM,09-Dec-2021 04:40 PM,1.0,ICICI BANK,"67,700",No,fixed,,Nil,Nil,PWD,NIT NO.15812-71 DT.05.11.2021-BHAWARNA,2021_PWD_53535_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,AOC
,,,,,,,,,,,,,,,,2.0,243024.0,rajat thakur govt contractor,17-Nov-2021 06:27 PM,Rejected-Finance,Bidder Rank-L2,04-Jul-2022 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
