Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,PW-MDI(P)Tender-NIT- 2340-75 dated 23.05.2022,2022_PWD_61456_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Jun-2022 11:00 AM,13-Jun-2022 11:30 AM,06-Jun-2022 11:00 AM,13-Jun-2022 10:00 AM,NA ,NA ,06-Jun-2022 11:00 AM,13-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,500.0,Nil,Nil,No,1.0,ICICI BANK,"38,100",No,fixed,,Nil,Nil,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Construction of Jhanad Balh Khajarwahal Ropra Dundha road in Ilaka Kundha Km 0/0 to 10/0.,"Construction of R.C.C. Hume Pipe culvert at R.D.s 0/820, 1/560 and 3.00 mtr. Span RCC slab culvert at RD 4/300",As per bid documents ,NA ,"19,07,402",Civil Works - Roads,NA ,Tender,90.0,183.0,Jhanad,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),AOC,PWD,2022_PWD_61456_1,PW-MDI(P)Tender-NIT- 2340-75 dated 23.05.2022,Construction of Jhanad Balh Khajarwahal Ropra Dundha road in Ilaka Kundha Km 0/0 to 10/0.,Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,01-Jul-2022 04:13 PM,04-Jul-2022 11:00 AM,techsummary_92740.pdf (388.17 KB),Er. J.K. Gupta,Internal,AE Padhar Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jul-2022 02:44 PM,finsummary_92740.pdf (412.39 KB),13-Jul-2022,"INR 1,907,402",183.0,Jitender Kumar,13-Jul-2022 02:59 PM,AOCjhanad61456.PDF (372.00 KB),Award letter No. 5565-77,1.0,286454.0,ANIL KUMAR,12-Jun-2022 06:51 PM,Rejected-Finance,L-2,13-Jul-2022 02:44 PM,Technical,summary,Jitender Kumar,13-Jun-2022 05:05 PM,technical_92740.pdf,Finance,fbosummary,Jitender Kumar,06-Jul-2022 02:52 PM,finance_92740.pdf,BOQ Comparative Chart,1.0,286439.0,LEKH RAJ,INR,"1,840,641.2",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286506.0,LABH SINGH CONTRACTOR,13-Jun-2022 09:13 AM,Rejected-Finance,L-3,13-Jul-2022 02:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286439.0,LEKH RAJ,12-Jun-2022 05:32 PM,Accepted-AOC,AOC,13-Jul-2022 02:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
