Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
05-May-2022 10:00 AM,13-May-2022 11:30 AM,05-May-2022 10:00 AM,12-May-2022 06:00 PM,05-May-2022 10:00 AM ,10-May-2022 04:00 PM ,05-May-2022 10:00 AM,12-May-2022 06:00 PM,13-May-2022 05:50 PM,PWD,EE Dehra Letter No. 1022-26 dt. 25/4/2022,2022_PWD_60264_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O on road i) Jamuli to Balaru via Bandol Basti road Km 0/0 to 5/300 ii) Dehrian to Paisa via Salehr road km 0/0 to 2/240 iii) Sapri to Samletar road km 0/0 to 1/300 iv) Banu Da Khuh to Fakloh road Km 0/0 to 1/00,P/L G-III and Repair to Pot Holes,Please refer to tender documents ,NA ,"7,00,003",Civil Works,Patch work ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,"14,000",No,fixed,,Nil,Nil,AOC,EE Dehra,Internal,HDM Supdt DAO,Dinesh Kumar Dhiman,13-May-2022 05:37 PM,13-May-2022 05:50 PM,techsummary_91077.pdf (532.05 KB),PWD,2022_PWD_60264_1,EE Dehra Letter No. 1022-26 dt. 25/4/2022,A/R and M/O on road i) Jamuli to Balaru via Bandol Basti road Km 0/0 to 5/300 ii) Dehrian to Paisa via Salehr road km 0/0 to 2/240 iii) Sapri to Samletar road km 0/0 to 1/300 iv) Banu Da Khuh to Fakloh road Km 0/0 to 1/00,01-Jul-2022,"INR 700,003",30.0,Dinesh Kumar Dhiman,01-Jul-2022 03:38 PM,60264_1.pdf (640.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,01-Jul-2022 03:35 PM,finsummary_91077.pdf (175.09 KB),1.0,281879.0,aditya rana,12-May-2022 12:23 PM,Rejected-Finance,Being a highest bidder,01-Jul-2022 03:35 PM,Technical,Technical Bid opened on 13.05.2022,Dinesh Kumar Dhiman,13-May-2022 05:05 PM,technical_91077.pdf,1.0,280810.0,RAJ KUMAR,INR,"626,020",Finance,Summary,Dinesh Kumar Dhiman,01-Jul-2022 03:26 PM,finance_91077.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of enlistment,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,281942.0,ashish chaudhry,12-May-2022 04:15 PM,Rejected-Finance,Being a highest bidder,01-Jul-2022 03:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281877.0,rajat thakur govt contractor,12-May-2022 01:00 PM,Rejected-Finance,Being a highest bidder,01-Jul-2022 03:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,280810.0,RAJ KUMAR,12-May-2022 07:25 AM,Accepted-AOC,L1,01-Jul-2022 03:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
