Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
15-Jul-2022,INR 54328601,45.0,Horgobinda Nath,28-Jul-2022 12:21 PM,ForensicAPpvLIst.pdf (1473.00 KB),Dr P Mahanta,Internal,,Bhupen Chandra Sarma,09-Jun-2022 06:47 PM,14-Jun-2022 02:00 PM,techsummary_37470.pdf (3747.55 KB),1.0,145673.0,Square Enterprises,INR,52456932.0,1,146324,DIAGNOSTICMED,23-Apr-2022 05:45 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not submitted,07-May-2022 05:04 PM,Technical,Accepted for technical evaluation,Bhupen Chandra Sarma,07-May-2022 05:04 PM,technical_37470.pdf,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2022_HFWD_24429_1,"DME/Forensic/11/2022 /Pt-II/2744, Dtd 18-02-2022",Supply and installation of equipment related to Forensic Medicine Department at Medical Colleges of Assam,Director of Medical Education Assam,Internal,,Bhupen Chandra Sarma,01-Jul-2022 03:18 PM,finsummary_37470.pdf (3489.50 KB),Finance,Accepted for financial evaluaion,Bhupen Chandra Sarma,01-Jul-2022 03:11 PM,,BOQ Comparative Chart,AOC,1.0,Date Extension Notice,Date,,Director of Medical Education Assam,"office of the DME Assam, Sixmile, Khanapara Guwahati",Supply and installation of equipment related to Forensic Medicine Department at Medical Colleges of Assam,Supply and installation of equipment related to Forensic Medicine Department at Medical Colleges of Assam,Please refer tender documents ,NA ,,Medical Equipments/Waste,NA ,Rate Contract,180.0,45.0,Medical College Hospitals of Assam,781022.0,"DME Assam, Sixmile, Khanapara Guwahati ","office of the DME Assam, Sixmile, Khanapara Guwahati ",05-Mar-2022 11:00 AM ,"office of the DME Assam, Sixmile, Khanapara Guwaha",No ,No,1.0,Fee/PreQual/Technical,.pdf,PreQualification,"3,00,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"5,000",Nil,Nil,Yes,Health and Family Welfare Department||Directorate of Medical Education-HFWD,"DME/Forensic/11/2022 /Pt-II/2744, Dtd 18-02-2022",2022_HFWD_24429_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,19-Feb-2022 03:30 PM,25-Apr-2022 05:00 PM,19-Feb-2022 03:45 PM,25-Apr-2022 02:00 PM,NA ,NA ,05-Mar-2022 04:00 PM,25-Apr-2022 02:00 PM,14-Jun-2022 02:00 PM,AOC
,,,,,,,,,,,,,2.0,145846.0,ITAS G. PHARMA,INR,858049.0,2,145786,Green Genome India Pvt Ltd,17-Apr-2022 12:01 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not submitted,07-May-2022 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3.0,145867.0,United Traders,INR,1013620.0,3,135823,Intra Globus Biosystems,19-Apr-2022 04:07 PM,Rejected-Technical,Rejected due to turnover requirement not meet,09-Jun-2022 06:47 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,145846,ITAS G. PHARMA,18-Apr-2022 11:23 AM,Accepted-AOC,L1,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SupplementaryBOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,141408,LCGC BIOANALYTIC SOLUTIONS LLP,17-Mar-2022 10:42 AM,Not Admitted-Fee/PreQual/Technical,Others-EMD & Tender fees not submitted,07-May-2022 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,144196,M/s Yorco Sales Private Limited,14-Apr-2022 06:52 PM,Rejected-AOC,L2,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,145721,MULTISCIENCE / DVS PUBLISHERS,17-Apr-2022 01:21 AM,Rejected-AOC,L2,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,145722,SHARMA BROS SCIENTIFIC INSTRUMENT CO.,17-Apr-2022 10:34 PM,Rejected-AOC,L2,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,145673,Square Enterprises,14-Apr-2022 10:41 PM,Accepted-AOC,L1,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,145867,United Traders,25-Apr-2022 01:15 AM,Accepted-AOC,L1,28-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
