S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,1.0,opening date of tender is hereby postponed,Date,,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),500.0,Nil,Nil,No,"31,500",No,fixed,,Nil,Nil,01-Feb-2022 04:30 PM,18-Feb-2022 11:00 AM,01-Feb-2022 05:00 PM,18-Feb-2022 10:30 AM,NA ,NA ,01-Feb-2022 05:00 PM,18-Feb-2022 10:30 AM,19-Feb-2022 04:00 PM,PWD,Tender/2021-22-9688-9737 dated 18.01.2022,2022_PWD_56172_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Restoration of rain damages to various road under HPPWD Sub Division No-II, Paonta Sahib. (SH-Providing and laying pot holes correction with 50mm thick penetration macadam,20 mm thick open graded pre-mix carpet and seal coat.)","Restoration of rain damages to various road under HPPWD Sub Division No-II, Paonta Sahib. (SH-Providing and laying pot holes correction with 50mm thick penetration macadam,20 mm thick open graded pre-mix carpet and seal coat.)",Please refer tender document ,NA ,"15,71,200",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,AOC,1.0,264211.0,H. C. Bansal Engg. & Contt.,17-Feb-2022 12:10 AM,Rejected-Finance,L6,02-Mar-2022 10:52 AM,Technical,Bid Opening Summary,Kishan Lal Chaudhary,19-Feb-2022 01:28 PM,technical_84471.pdf,PWD,2022_PWD_56172_9,Tender/2021-22-9688-9737 dated 18.01.2022,"Restoration of rain damages to various road under HPPWD Sub Division No-II, Paonta Sahib. (SH-Providing and laying pot holes correction with 50mm thick penetration macadam,20 mm thick open graded pre-mix carpet and seal coat.)",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,261271.0,Manoj Chawla,17-Feb-2022 03:32 PM,Rejected-Finance,L5,02-Mar-2022 10:52 AM,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Copy of Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,264267.0,Nazar Ali,17-Feb-2022 12:08 AM,Rejected-Finance,L4,02-Mar-2022 10:52 AM,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Copy of GST Registration (Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,264729.0,Randhir Singh,17-Feb-2022 08:34 PM,Rejected-Finance,L3,02-Mar-2022 10:52 AM,,,,,,,,,,AOC
,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1 duly signed by the concerned officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,261769.0,RANJEET SINGH,16-Feb-2022 11:43 AM,Rejected-Finance,L2,02-Mar-2022 10:52 AM,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Bid will be rejected if any incomplete work noticed beyond stipulated period without genuine reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,261332.0,SATISH KUMAR,05-Feb-2022 05:22 PM,Accepted-AOC,Work Completed,19-Jul-2022 04:14 PM,,,,,,,,,,AOC
,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
