Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
"Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP","Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP",Please refer Tender documents. ,NA ,"19,95,327",Civil Works - Buildings,NA ,Tender,120.0,180.0,Additional and Alteration of IPH Inspection Hut at,176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,800.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,1.0,ICICI BANK,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,14-Dec-2021 09:00 AM,21-Dec-2021 11:30 AM,14-Dec-2021 09:00 AM,20-Dec-2021 05:00 PM,NA ,NA ,14-Dec-2021 09:00 AM,20-Dec-2021 05:00 PM,27-Dec-2021 04:35 PM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (14165-14210 dated 13.12.2021),2021_HPIPH_54620_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"39,907",Yes,fixed,,Nil,Nil,AOC,Technical,3Nos contractor bid documents downladed sucessfully summary attached,Anil Kumar,27-Dec-2021 04:29 PM,technical_81860.pdf,Finance,BOQ downlaoded sucessfully sumary attached,Anil Kumar,29-Dec-2021 03:05 PM,None,BOQ Comparative Chart,10-Jun-2022,"INR 1,890,023",180.0,Anil Kumar,13-Jul-2022 06:36 PM,AOC.pdf (53.00 KB),Sh. Suraj Aggrwal Govt.Cont. V.P.O. Maranda. Tehsil Palampur District Kangra HP,1.0,251139.0,AMIT CHOUDHARY,20-Dec-2021 01:28 PM,Rejected-AOC,accept,13-Jul-2022 06:36 PM,Executive Engineer JSV Division Thural,Internal,"TenderAsst. JSV Division Thural, Supdtt, JSV Division Thural,HDM JSV Division Thural,AEtoEE JSV Division Thural,Sr.Asst.A.B JSV Division Thural",Anil Kumar,27-Dec-2021 04:31 PM,27-Dec-2021 04:35 PM,techsummary_81860.pdf (1834.31 KB),Executive Engineer JSV Division Thural,Internal,"Tender Asst,Supdtt,HDM,AEtoEE,Sr.Asstt,A/B",Anil Kumar,29-Dec-2021 03:07 PM,finsummary_81860.pdf (1834.30 KB),1.0,251226.0,Suraj Parkash Aggarwal,INR,"1,890,023","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2021_HPIPH_54620_1,THL-KNG05-729 (14165-14210 dated 13.12.2021),"Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP",1.0,save not corrected sheet,save not corrected sheet,29-Dec-2021 02:58 PM,Summary2.pdf ,72.73,Financial Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with JSV (IPH) Department in appropriate class and latest renewal th,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,251102.0,GANTANTAR THAKUR,20-Dec-2021 01:40 PM,Rejected-AOC,accept,13-Jul-2022 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,251226.0,Suraj Parkash Aggarwal,20-Dec-2021 02:58 PM,Accepted-AOC,accept,13-Jul-2022 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must have experience of construction of Residential building/ Rest house in IPH (JSV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
