Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
500.0,Nil,Nil,No,28-Apr-2022 05:00 PM,13-May-2022 11:30 AM,28-Apr-2022 05:00 PM,13-May-2022 10:00 AM,NA ,NA ,28-Apr-2022 05:00 PM,13-May-2022 10:00 AM,03-Jun-2022 03:00 PM,1.0,ICICI BANK,"Special repair of Govt. Degree College at Nagrota Bagwan in Distt Kangra (H.P.). (SH-Construction of stage in campus, P/F aluminium work, glass panes, B.P. sheet, painting and other civil work etc )","Special repair of Govt. Degree College at Nagrota Bagwan in Distt Kangra (H.P.). (SH-Construction of stage in campus, P/F aluminium work, glass panes, B.P. sheet, painting and other civil work etc )",Please refer Tender documents. ,NA ,"16,31,464",Civil Works,NA ,Tender,120.0,90.0,Nagrota Bagwan,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"32,000",No,fixed,,Nil,Nil,PWD,PWD- Civil-1107-37-Tanda,2022_PWD_59975_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,1.0,281905.0,Vijay kumar,INR,"1,318,419",Finance,sum,Ankit Kumar,15-Jun-2022 12:02 PM,finance_90681.pdf,BOQ Comparative Chart,1.0,282042.0,Neeraj,13-May-2022 09:18 AM,Rejected-Technical,Not Fulfill Criteria,01-Jun-2022 03:38 PM,Technical,SUM,Suresh Kumar Walia,01-Jun-2022 03:37 PM,technical_90681.pdf,PWD,2022_PWD_59975_1,PWD- Civil-1107-37-Tanda,"Special repair of Govt. Degree College at Nagrota Bagwan in Distt Kangra (H.P.). (SH-Construction of stage in campus, P/F aluminium work, glass panes, B.P. sheet, painting and other civil work etc )",Executive Engineer,Internal,AE Nagrota Bagwan DAO Supdt HDM,Suresh Kumar Walia,01-Jun-2022 03:38 PM,03-Jun-2022 03:00 PM,techsummary_90681.pdf (935.98 KB),Executive Engineer,Internal,AE DAO SUpdt HDM,Ankit Kumar,15-Jun-2022 12:03 PM,finsummary_90681.pdf (17.97 KB),27-Jun-2022,"INR 1,631,464",90.0,Suresh Kumar Walia,15-Jul-2022 12:01 PM,Award.pdf (438.00 KB),Award,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC,,,,,,,,,,,,2.0,281205.0,Puneet Khosla,10-May-2022 12:36 PM,Rejected-Finance,Lowest 2,15-Jun-2022 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration ,PAN No , EPF No.",AOC,,,,,,,,,,,,3.0,281905.0,Vijay kumar,12-May-2022 01:32 PM,Accepted-AOC,Award,15-Jul-2022 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"All terms of condition in SBD, E-mail addresses and Mobile Number",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
