Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Jun-2022,"INR 1,058,806",60.0,Ajay Gazta,30-Jul-2022 04:06 PM,Award.pdf (722.00 KB),Award letter,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Jia Lal, Draughtsman",Rajesh Kumar,07-Mar-2022 11:01 AM,finsummary_84038.pdf (411.13 KB),"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Kewal Ram, Supdt. Gr-II, Jia Lal, D/Man Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,08-Feb-2022 03:20 PM,09-Feb-2022 11:00 AM,techsummary_84038.pdf (537.88 KB),PWD,2022_PWD_55905_1,THD/CB-tender/21-11753-67,Improvement of black spot on Chailla Shalowa road km. 0.00 to 5.600,1.0,259569.0,Gian Chand,INR,"814,049",Finance,Financial bid opening summary,Vijay Kumar Chauhan,10-Feb-2022 02:51 PM,finance_84038.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Vijay Kumar Chauhan,01-Feb-2022 01:08 PM,technical_84038.pdf,1.0,259569.0,Gian Chand,29-Jan-2022 04:03 PM,Accepted-AOC,Being L1,30-Jul-2022 04:06 PM,AOC,"21,200",No,fixed,,Nil,Nil,PWD,THD/CB-tender/21-11753-67,2022_PWD_55905_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Tehsil theog Distt. Shimla, HP",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,500.0,Nil,Nil,No,Improvement of black spot on Chailla Shalowa road km. 0.00 to 5.600,Providing and fixing W beam metal crash barriers in km RD 0.810 to 0.870 and RD 1.300 to 1.450,As per GCC ,NA ,"10,58,806",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,ICICI BANK,20-Jan-2022 05:00 PM,31-Jan-2022 11:00 AM,20-Jan-2022 05:00 PM,29-Jan-2022 05:00 PM,NA ,NA ,20-Jan-2022 05:00 PM,29-Jan-2022 05:00 PM,09-Feb-2022 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259393.0,MAHINDER SINGH,29-Jan-2022 11:07 AM,Rejected-Finance,Being higher rates,07-Mar-2022 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259303.0,Mohit Sharma,28-Jan-2022 12:24 PM,Rejected-Finance,Being higher rates,07-Mar-2022 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,259519.0,Sandeep Verma,29-Jan-2022 01:42 PM,Rejected-Finance,Being Higher rates,07-Mar-2022 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,258407.0,Suresh Vekta,26-Jan-2022 12:52 PM,Rejected-Technical,Technically non responsive,08-Feb-2022 03:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
