Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
PWD,EE Dehra Letter No. 1641-45 dt 18.05.2022,2022_PWD_61269_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",Executive Engineer,HPPWD Division Dehra,500.0,Nil,Nil,No,01-Jun-2022 10:00 AM,08-Jun-2022 11:30 AM,01-Jun-2022 10:00 AM,07-Jun-2022 06:00 PM,NA ,NA ,01-Jun-2022 10:00 AM,07-Jun-2022 06:00 PM,23-Jun-2022 05:00 PM,"35,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,C/o road from Badhal Bridge to Jambal Bassi via Paniamal road in Km. 0/00 to 3/200.,"C/o C/wall at RD 2/630 to 2/740 , C/o 900mm dia H.P. culvert at RD 2/250, 2/500, 2/750 and 3/050). (Industrial Corridor)",Please refer to tender documents. ,NA ,"17,87,327",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Divsion Dehra,No ,No,AOC,16-Jul-2022,"INR 1,787,327",30.0,Dinesh Kumar Dhiman,16-Jul-2022 05:08 PM,61269_12-Award.pdf (574.00 KB),Work award issued,1.0,285593.0,SUBHASH CHAND,INR,"1,532,147",EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,16-Jul-2022 05:04 PM,finsummary_92486.pdf (182.49 KB),PWD,2022_PWD_61269_12,EE Dehra Letter No. 1641-45 dt 18.05.2022,C/o road from Badhal Bridge to Jambal Bassi via Paniamal road in Km. 0/00 to 3/200.,Finance,Summary,Dinesh Kumar Dhiman,16-Jul-2022 05:01 PM,finance_92486.pdf,BOQ Comparative Chart,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,22-Jun-2022 01:04 PM,23-Jun-2022 05:00 PM,techsummary_92486.pdf (701.58 KB),Technical,Summary,Dinesh Kumar Dhiman,22-Jun-2022 12:57 PM,technical_92486.pdf,1.0,285343.0,HARBANS SINGH,07-Jun-2022 03:35 PM,Rejected-Technical,Enlistment validity expired,22-Jun-2022 01:04 PM,AOC
,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285593.0,SUBHASH CHAND,06-Jun-2022 07:14 PM,Accepted-AOC,L1,16-Jul-2022 05:08 PM,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285708.0,SUMIT KUMAR GOVT. CONTRACTOR,07-Jun-2022 02:13 PM,Rejected-Finance,Highest Bidder,16-Jul-2022 05:04 PM,AOC
,,,,,,,,,,,,,,,,.pdf,GST/Sales Tax Registration (TIN No.)(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
