Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,BOS,Jeet Singh Thakur,26-Mar-2022 06:37 PM,finance_87011.pdf,BOQ Comparative Chart,1.0,269626.0,Surender Singh,INR,"2,720,219",Technical,BOS,Jeet Singh Thakur,17-Mar-2022 05:05 PM,technical_87011.pdf,1.0,269588.0,Pawan Thakur Govt. Contractor,14-Mar-2022 09:14 PM,Rejected-Finance,Being 2nd lowest,06-Apr-2022 06:39 PM,EE,Internal,"Assistant Engineer, Superintendent and Senior Assistant",Jeet Singh Thakur,06-Apr-2022 06:39 PM,finsummary_87011.pdf (118.95 KB),19-Jul-2022,"INR 2,754,652",30.0,Jeet Singh Thakur,19-Jul-2022 07:25 PM,09.226-31.pdf (742.00 KB),Annual Maintenance on Chamba Tissa road Km. 1/0 to 2/0 for the year 2022-23 (SH Providing and Laying Bituminous Concrete ),PWD,2022_PWD_57649_1,No.PWC- WA-II-16655-754 dated 24.2.2022,Annual Maintenance on Chamba Tissa road Km. 1/0 to 2/0 for the year 2022-23 (SH Providing and Laying Bituminous Concrete ),EE,Internal,Assistant Engineer Superintendent and senior Assistant,Jeet Singh Thakur,17-Mar-2022 05:20 PM,22-Mar-2022 11:30 AM,techsummary_87011.pdf (247.06 KB),AOC,1.0,ICICI BANK,PWD,No.PWC- WA-II-16655-754 dated 24.2.2022,2022_PWD_57649_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,08-Mar-2022 01:00 PM,16-Mar-2022 11:30 AM,08-Mar-2022 01:00 PM,15-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 01:00 PM,15-Mar-2022 05:00 PM,22-Mar-2022 11:30 AM,"55,100",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"1,500",Nil,Nil,No,Annual Maintenance on Chamba Tissa road Km. 1/0 to 2/0 for the year 2022-23 (SH Providing and Laying Bituminous Concrete ),Annual Maintenance on Chamba Tissa road Km. 1/0 to 2/0 for the year 2022-23 (SH Providing and Laying Bituminous Concrete ),Please refer Tender documents. ,NA ,"27,54,652",Civil Works,NA ,Tender,75.0,30.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,269626.0,Surender Singh,14-Mar-2022 03:49 PM,Accepted-AOC,Work awarded/completed,19-Jul-2022 07:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
