Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
HP SIDC Limited,2022_SIDC_57481_1,Job No. 2,"C/o road, road side drain from Main road NH-07 to M/S SBS Industries at Kala Amb Distt. Sirmour (HP).",SE,Internal,"DM, Manager(F), EE(HQ)",BHUP SINGH,07-May-2022 11:16 AM,finsummary_86756.pdf (30.27 KB),1.0,269660.0,HARI SINGH,INR,"3,078,762",20-May-2022,"INR 3,078,762",120.0,Sushant Singh Negi,06-Jul-2022 03:47 PM,harisingh.pdf (6618.00 KB),Award letter,1.0,269832.0,Amardeep Singh,14-Mar-2022 04:06 PM,Rejected-Finance,Third lowest bidder,07-May-2022 11:16 AM,Technical,Technical summary,Sushant Singh Negi,24-Mar-2022 01:04 PM,technical_86756.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,24-Mar-2022 01:06 PM,24-Mar-2022 03:00 PM,techsummary_86756.pdf (464.52 KB),Finance,Financial summary,Sushant Singh Negi,04-Apr-2022 12:33 PM,finance_86756.pdf,BOQ Comparative Chart,AOC,"73,800",No,fixed,,Nil,Nil,Execuitve Engineer,HPSIDC Shimla,HP SIDC Limited,Job No. 2,2022_SIDC_57481_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/o road, road side drain from Main road NH-07 to M/S SBS Industries at Kala Amb Distt. Sirmour (HP).","C/o road, road side drain from Main road NH-07 to M/S SBS Industries at Kala Amb Distt. Sirmour (HP).",Please refer Tender documents. ,NA ,"44,19,124",Civil Works,NA ,Tender,120.0,120.0,kala amb,173030.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,07-Mar-2022 11:00 AM,15-Mar-2022 11:00 AM,07-Mar-2022 11:00 AM,14-Mar-2022 05:00 PM,NA ,NA ,07-Mar-2022 11:00 AM,14-Mar-2022 05:00 PM,24-Mar-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,269660.0,HARI SINGH,14-Mar-2022 03:57 PM,Accepted-AOC,AOC,06-Jul-2022 03:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,269911.0,Jai Parkash,14-Mar-2022 03:56 PM,Rejected-Finance,Fourth lowest bidder,07-May-2022 11:16 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,269834.0,SUBHASH CHAND,14-Mar-2022 02:12 PM,Rejected-Finance,Second lowest bidder,07-May-2022 11:16 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
