S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"31,000",Yes,fixed,,Nil,Nil,PWD,NIT No.4652-4711 DT.23-05-2022-Bhawarna,2022_PWD_61130_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Development and Beautification of Shamshanghat Bhawarna on Plot Khasra No. 545, 546, 547, 548 at Mohal Bhawarna Sub- Tehsil Bhawarna Distt. Kangra (HP).","Providing and laying Kota Stone, Paver Block and C/o Breast wall, Retaining wall and V-shape drain etc",Please refer Tender documents. ,NA ,"15,27,101",Civil Works - Others,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,28-May-2022 10:00 AM,06-Jun-2022 11:30 AM,28-May-2022 10:00 AM,06-Jun-2022 11:00 AM,NA ,NA ,28-May-2022 10:30 AM,06-Jun-2022 11:00 AM,07-Jun-2022 12:30 PM,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,AOC,1.0,285214.0,C M RANA,03-Jun-2022 06:05 PM,Rejected-Finance,Bidder Rank-L2,16-Jul-2022 01:19 PM,Technical,Summary,Manish Sehgal,07-Jun-2022 12:12 PM,technical_92265.pdf,Finance,Summary,Manish Sehgal,16-Jul-2022 01:14 PM,finance_92265.pdf,BOQ Comparative Chart,1.0,285185.0,SHARMILA,INR,"2,366,562",PWD,2022_PWD_61130_1,NIT No.4652-4711 DT.23-05-2022-Bhawarna,"Development and Beautification of Shamshanghat Bhawarna on Plot Khasra No. 545, 546, 547, 548 at Mohal Bhawarna Sub- Tehsil Bhawarna Distt. Kangra (HP).",Sh. Manish Sehgal,Internal,Himanshu Verma AEtoEE Ashok Kumar Supdt Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Jr Asstt,Manish Sehgal,07-Jun-2022 12:15 PM,07-Jun-2022 12:30 PM,techsummary_92265.pdf (485.81 KB),Sh. Manish Sehgal,Internal,,Manish Sehgal,16-Jul-2022 01:19 PM,finsummary_92265.pdf (126.01 KB),16-Jul-2022,"INR 2,661,514.95",90.0,Manish Sehgal,16-Jul-2022 01:22 PM,AOC.pdf (589.00 KB),AOC,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,AOC,2.0,285185.0,SHARMILA,05-Jun-2022 04:31 PM,Accepted-AOC,Bidder Rank-L1,16-Jul-2022 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
