Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,SUMMARY,Manish Sehgal,18-Dec-2021 04:52 PM,technical_80745.pdf,1.0,247906.0,Kumar Associates,06-Dec-2021 09:51 AM,Rejected-Finance,Bidder Rank-L2,06-Jul-2022 11:30 AM,Finance,Summary,Manish Sehgal,06-Jul-2022 11:28 AM,finance_80745.pdf,BOQ Comparative Chart,Shri Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,18-Dec-2021 04:56 PM,22-Dec-2021 11:00 AM,techsummary_80745.pdf (3012.99 KB),PWD,2021_PWD_53940_1,NIT NO.16715-74 DT.18.11.2021-BHAWARNA,Construction of Govt. I.T.I. Building at Rajhoon Tehsil Dheera District Kangra.,AOC,25-Nov-2021 10:00 AM,06-Dec-2021 11:30 AM,25-Nov-2021 10:05 AM,06-Dec-2021 11:00 AM,NA ,NA ,25-Nov-2021 10:30 AM,06-Dec-2021 11:00 AM,22-Dec-2021 11:00 AM,1.0,ICICI BANK,"5,000",Nil,Nil,No,Construction of Govt. I.T.I. Building at Rajhoon Tehsil Dheera District Kangra.,"Construction of Main Building including Water Supply, Sanitary Installation and Rain Water Harvesting system",Please refer Tender documents. ,NA ,"3,15,16,389",Civil Works - Buildings,NA ,Tender,75.0,730.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"6,30,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,PWD,NIT NO.16715-74 DT.18.11.2021-BHAWARNA,2021_PWD_53940_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,AOC
,,,,,2.0,247836.0,PARAS SOOD,06-Dec-2021 12:46 AM,Accepted-AOC,Bidder Rank-L1,06-Jul-2022 11:31 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,247495.0,Ujjawal Singh,06-Dec-2021 07:29 AM,Rejected-Technical,Non-Responsive,18-Dec-2021 04:56 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Copy of (Tax/GST/PAN).,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tax clearance certificate (TCC) issued from the GST and Taxation Deptt.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that informations furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and list of technical staff.,,,,,,,,,,,,,,,,,AOC
