Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Providing and laying Annual Surfacing (Periodic Maintenance) on Up-gradation of road from Dhar Lahr Langa to Garela Kalan in Km 5/0 to 6/0 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete in Km 5/0 to 6/0",Please refer Tender documents. ,NA ,"9,31,349",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,1.0,ICICI BANK,"19,000",No,fixed,,Nil,Nil,PWD,NIT No.24422-81 DT.23-02-2022-Bhawarna,2022_PWD_57860_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,14-Mar-2022 10:00 AM,25-Mar-2022 11:30 AM,14-Mar-2022 10:00 AM,25-Mar-2022 11:00 AM,NA ,NA ,14-Mar-2022 10:30 AM,25-Mar-2022 11:00 AM,26-Mar-2022 04:00 PM,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,AOC,1.0,272619.0,Sanjeev,INR,"1,575,604",Finance,Summary,Manish Sehgal,04-Jul-2022 12:53 PM,finance_87371.pdf,BOQ Comparative Chart,1.0,271292.0,M/s Kamala Enterprises,24-Mar-2022 10:54 PM,Rejected-Finance,Bidder Rank-L2,04-Jul-2022 12:55 PM,Technical,Summary,Manish Sehgal,26-Mar-2022 03:47 PM,technical_87371.pdf,PWD,2022_PWD_57860_1,NIT No.24422-81 DT.23-02-2022-Bhawarna,Providing and laying Annual Surfacing (Periodic Maintenance) on Up-gradation of road from Dhar Lahr Langa to Garela Kalan in Km 5/0 to 6/0 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,Sh. Manish Sehgal,Internal,Ashok Kumar Supdt Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Jr Asstt,Manish Sehgal,26-Mar-2022 03:48 PM,26-Mar-2022 04:00 PM,techsummary_87371.pdf (899.01 KB),Sh. Manish Sehgal,Internal,,Manish Sehgal,04-Jul-2022 12:55 PM,finsummary_87371.pdf (126.52 KB),04-Jul-2022,"INR 1,707,565",90.0,Manish Sehgal,04-Jul-2022 12:57 PM,AOC.pdf (347.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,AOC,,,,,,,,,,,,2.0,272619.0,Sanjeev,24-Mar-2022 04:44 PM,Accepted-AOC,Bidder Rank-L1,04-Jul-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
