Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,500",Nil,Nil,No,"53,250",No,fixed,,Nil,Nil,A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 01.06.2022 to 30.11.2022. ),A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 01.06.2022 to 30.11.2022. ),Please refer Tender documents. ,NA ,"26,61,823",Civil Works - Buildings,NA ,Tender,120.0,180.0,Nagrota Bagwan,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,25-May-2022 02:00 PM,07-Jun-2022 11:00 AM,25-May-2022 02:00 PM,07-Jun-2022 10:00 AM,NA ,NA ,25-May-2022 02:00 PM,07-Jun-2022 10:00 AM,08-Jun-2022 10:00 AM,1.0,ICICI BANK,PWD,PWD- Civil-2461-91-Tanda,2022_PWD_61057_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,AOC,1.0,285360.0,Abhishek,06-Jun-2022 04:22 PM,Rejected-Finance,Lowest 3,15-Jun-2022 12:31 PM,Technical,sum,Suresh Kumar Walia,07-Jun-2022 04:26 PM,technical_92162.pdf,1.0,284262.0,VENYA CONSTRUCTIONS AND SUPPLIER,INR,"2,452,387",Finance,SUM,Ankit Kumar,15-Jun-2022 12:16 PM,finance_92162.pdf,BOQ Comparative Chart,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,07-Jun-2022 04:27 PM,08-Jun-2022 10:00 AM,techsummary_92162.pdf (740.15 KB),PWD,2022_PWD_61057_1,PWD- Civil-2461-91-Tanda,A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 01.06.2022 to 30.11.2022. ),25-Jul-2022,"INR 2,661,823",180.0,Suresh Kumar Walia,29-Jul-2022 11:38 AM,Award.pdf (2383.00 KB),Award,Executive Engineer,Internal,AE DAO SUpdt HDM,Ankit Kumar,15-Jun-2022 12:31 PM,finsummary_92162.pdf (18.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,AOC,2.0,284262.0,VENYA CONSTRUCTIONS AND SUPPLIER,31-May-2022 04:51 PM,Accepted-AOC,Award,29-Jul-2022 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Pan No, GST No, EPF. No",,,AOC,3.0,284260.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,31-May-2022 05:33 PM,Rejected-Finance,Lowest 2,15-Jun-2022 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information ubmitted with bid namely ( ) are true and correct,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
