Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Construction of Kohlari to Talai road Km. 0/0 to 1/500 Construction of Retaining wall , edge wall, V-shape drain)","Construction of Kohlari to Talai road Km. 0/0 to 1/500 Construction of Retaining wall , edge wall, V-shape drain)",Please refer Tender documents. ,NA ,"6,29,790",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,350.0,Nil,Nil,No,1.0,ICICI BANK,PWD,NO.PWC-WA-II 8407-506 dated 22.9.21,2021_PWD_52891_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,04-Oct-2021 06:55 PM,12-Oct-2021 11:30 AM,04-Oct-2021 06:55 PM,11-Oct-2021 05:00 PM,NA ,NA ,04-Oct-2021 06:55 PM,11-Oct-2021 05:00 PM,03-Nov-2021 11:30 AM,"12,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,AOC,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,29-Oct-2021 05:00 PM,03-Nov-2021 11:30 AM,techsummary_79090.pdf (231.99 KB),PWD,2021_PWD_52891_3,NO.PWC-WA-II 8407-506 dated 22.9.21,"Construction of Kohlari to Talai road Km. 0/0 to 1/500 Construction of Retaining wall , edge wall, V-shape drain)",22-Jul-2022,"INR 629,790",60.0,Jeet Singh Thakur,22-Jul-2022 12:33 PM,16.13141.pdf (452.00 KB),"Construction of Kohlari to Talai road Km. 0/0 to 1/500 Construction of Retaining wall , edge wall, V-shape drain)",EE,Internal,Assistant Engineer superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 07:35 PM,finsummary_79090.pdf (296.17 KB),Finance,BOQ,Jeet Singh Thakur,24-Dec-2021 07:32 PM,finance_79090.pdf,BOQ Comparative Chart,1.0,240247.0,Ravinder Kumar,INR,"1,001,053",1.0,240214.0,Construction,10-Oct-2021 09:35 PM,Rejected-Finance,2nd lowest,24-Dec-2021 07:35 PM,Technical,BOS,Jeet Singh Thakur,29-Oct-2021 04:57 PM,technical_79090.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240179.0,RAJNI DEVI,10-Oct-2021 07:50 PM,Rejected-Finance,4th lowest,24-Dec-2021 07:35 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240247.0,Ravinder Kumar,11-Oct-2021 02:41 PM,Accepted-AOC,1st lowest,22-Jul-2022 12:33 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,240276.0,Sunil Kumar,11-Oct-2021 04:07 PM,Rejected-Finance,4th lowest,24-Dec-2021 07:35 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit/undertaking that information furnished with the bid is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
