S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,244207.0,Vijay Kumar,INR,"1,349,903",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,15-Dec-2021 03:06 PM,finance_80579.pdf,BOQ Comparative Chart,Technical,Bids List,Rajesh Kumar,30-Nov-2021 06:25 PM,technical_80579.pdf,1.0,245619.0,Harpal Singh,27-Nov-2021 05:40 PM,Rejected-Technical,As per Bid Evaluations,14-Dec-2021 04:11 PM,18-Dec-2021,"INR 1,149,304",60.0,Rajesh Kumar,08-Jul-2022 12:05 PM,Awardletter.pdf (998.00 KB),Awardletter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,15-Dec-2021 03:39 PM,finsummary_80579.pdf (489.57 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,14-Dec-2021 04:11 PM,15-Dec-2021 10:00 AM,techsummary_80579.pdf (606.98 KB),PWD,2021_PWD_53826_1,Job 2 Improvement of Curve on Una Rampur Haroli Ja,Job 2 Improvement of Curve on Una Rampur Haroli Jaijon road km. 0-0 to 22-200 MDR-62 Sub Head C.O Retaining wall at RD. 19-990 to 20-025 LHS and WMM. DBM and BC therein Under MDR Head,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"23,000",No,fixed,,Nil,Nil,PWD,Job 2 Improvement of Curve on Una Rampur Haroli Ja,2021_PWD_53826_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Job 2 Improvement of Curve on Una Rampur Haroli Jaijon road km. 0-0 to 22-200 MDR-62 Sub Head C.O Retaining wall at RD. 19-990 to 20-025 LHS and WMM. DBM and BC therein Under MDR Head,Job 2 Improvement of Curve on Una Rampur Haroli Jaijon road km. 0-0 to 22-200 MDR-62 Sub Head C.O Retaining wall at RD. 19-990 to 20-025 LHS and WMM. DBM and BC therein Under MDR Head,Please refer to Bidding Documents ,NA ,"11,49,304",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,ICICI BANK,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",500.0,Nil,Nil,No,23-Nov-2021 10:00 AM,29-Nov-2021 11:00 AM,23-Nov-2021 10:30 AM,29-Nov-2021 09:00 AM,NA ,NA ,23-Nov-2021 10:30 AM,29-Nov-2021 09:00 AM,15-Dec-2021 10:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,245470.0,PRABHJOT SINGH GOVT CONTRACTOR,27-Nov-2021 01:11 PM,Rejected-Technical,As per Bid Evaluations,14-Dec-2021 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,245336.0,Satish Kumar,26-Nov-2021 09:54 PM,Rejected-Technical,As per Bid Evaluations,14-Dec-2021 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,245380.0,Suman Devi Govt. Contractor,27-Nov-2021 10:34 AM,Rejected-Finance,Not L-1,15-Dec-2021 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,244207.0,Vijay Kumar,27-Nov-2021 01:07 PM,Accepted-AOC,ok,08-Jul-2022 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
