S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC-7521-7620 dated 6-9-2021,2021_PWD_52400_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Sarhan Ran Jhumar road Km. 0/0 to 6/0 Const. of R/ wall at various RDs,Construction of Sarhan Ran Jhumar road Km. 0/0 to 6/0 Const. of R/ wall at various RDs,Please refer Tender documents. ,NA ,"6,76,255",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,17-Sep-2021 05:00 PM,25-Sep-2021 11:30 AM,17-Sep-2021 05:00 PM,24-Sep-2021 05:00 PM,NA ,NA ,17-Sep-2021 05:00 PM,24-Sep-2021 05:00 PM,02-Nov-2021 11:30 AM,"13,500",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,AOC,PWD,2021_PWD_52400_1,No.PWC-7521-7620 dated 6-9-2021,Construction of Sarhan Ran Jhumar road Km. 0/0 to 6/0 Const. of R/ wall at various RDs,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Oct-2021 07:11 PM,02-Nov-2021 11:30 AM,techsummary_78285.pdf (205.28 KB),EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 05:31 PM,finsummary_78285.pdf (489.43 KB),22-Jul-2022,"INR 676,255",60.0,Jeet Singh Thakur,22-Jul-2022 12:47 PM,17.12270.pdf (520.00 KB),Construction of Sarhan Ran Jhumar road Km. 0/0 to 6/0 Const. of R/ wall at various RDs,1.0,236614.0,DHEERAJ PURI,24-Sep-2021 04:55 PM,Rejected-Finance,2nd lowest,24-Dec-2021 05:31 PM,Technical,BOS,Jeet Singh Thakur,28-Oct-2021 06:46 PM,technical_78285.pdf,Finance,Bid opening Summary,Jeet Singh Thakur,24-Dec-2021 05:27 PM,finance_78285.pdf,BOQ Comparative Chart,1.0,236935.0,Ravinder,INR,"1,045,663",AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236935.0,Ravinder,24-Sep-2021 04:09 PM,Accepted-AOC,work awarded/complete,22-Jul-2022 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
