Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
29-Dec-2021 06:00 PM,19-Jan-2022 02:30 PM,29-Dec-2021 06:00 PM,19-Jan-2022 02:00 PM,29-Dec-2021 06:00 PM ,19-Jan-2022 02:00 PM ,07-Jan-2022 02:00 PM,19-Jan-2022 02:00 PM,14-Feb-2022 04:00 PM,1.0,DD - Demand Draft,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,Public Works Roads Department,CEDEV/RIDFXXVII/210/2021-22/01,2021_PWD_23865_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid Security,RE_RIDF-XXVII_Bhabanipur_02 Construction of Road cum embankment on M/E along R/B of River Pohumara under RIDF-XXVII of NABARD for the year 2021-22 (From Ch. 0.00m to Ch. 2100.00M),RE_RIDF-XXVII_Bhabanipur_02 Construction of Road cum embankment on M/E along R/B of River Pohumara under RIDF-XXVII of NABARD for the year 2021-22 (From Ch. 0.00m to Ch. 2100.00M),Please refer Tender documents. ,NA ,"3,56,96,000",Civil Works,NA ,Tender,180.0,365.0,Bhabanipur,781003.0,"Development Branch, O/o the Chief Engineer (Roads) ","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003 ",05-Jan-2022 12:00 PM ,"O/o the Chief Engineer (Roads), PWRD, Assam",No ,No,"Chief Engineer (Roads), PWRD, Assam","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003","7,14,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,AOC,Technical,Verified,MRIDUL TALUKDAR,14-Feb-2022 03:35 PM,technical_36632.pdf,1,130285,ANUPAM NIRMAN PVT. LTD.,19-Jan-2022 09:42 AM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,Public Works Roads Department,2021_PWD_23865_19,CEDEV/RIDFXXVII/210/2021-22/01,RE_RIDF-XXVII_Bhabanipur_02 Construction of Road cum embankment on M/E along R/B of River Pohumara under RIDF-XXVII of NABARD for the year 2021-22 (From Ch. 0.00m to Ch. 2100.00M),AOC
,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,130136,BHUPEN DAIMARY,18-Jan-2022 03:09 PM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,129564,BIRENDRA KUMAR PRASAD,13-Jan-2022 12:40 AM,Accepted-AOC,Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,130267,Biswajit Medhi,19-Jan-2022 11:00 AM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,130153,Dewarshi Das,18-Jan-2022 04:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2022 03:35 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,129988,Dhananjoy Talukdar,18-Jan-2022 02:13 AM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,130268,Hitesh Kumar Das,18-Jan-2022 11:13 PM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,129979,Merajul Haque,18-Jan-2022 12:19 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2022 03:35 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,130182,PADMAVATI CONSTRUCTION,18-Jan-2022 06:14 PM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,130215,Sofiqul Islam,18-Jan-2022 07:53 PM,Rejected-AOC,Not Awarded,19-Jul-2022 12:01 PM,,,,,AOC
