Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,500",Nil,Nil,No,"48,750",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),PWD,Tender/2021-22-12788-12887 dated 15.12.2021,2021_PWD_54916_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,Executive Engineer HPPWD Division Shillai District Sirmour (HP).,Construction of link road from Rajpur to Dhigali km. 0/0 to 1/300 in dist. Sirmour HP.,"(SH-construction of R/wall in PCC 1,4,8 at RD 0/205 to 0/220, 0/740 to 0/760 and 0/890 to 0/910 R/wall in wire crates at RD 0/650 to 0/665 and construction of 900 mm dia hume pipe culvert at RD 0/355 under SCSP.)",Please refer tender document ,NA ,"25,48,202",Civil Works - Roads,NA ,Tender,75.0,90.0,Shillayi,173027.0,NA ,NA ,NA ,Shillayi,No ,No,22-Dec-2021 02:00 PM,30-Dec-2021 12:30 PM,22-Dec-2021 03:00 PM,29-Dec-2021 05:00 PM,NA ,NA ,22-Dec-2021 03:00 PM,29-Dec-2021 05:00 PM,04-Jan-2022 03:25 PM,AOC,PWD,2021_PWD_54916_1,Tender/2021-22-12788-12887 dated 15.12.2021,Construction of link road from Rajpur to Dhigali km. 0/0 to 1/300 in dist. Sirmour HP.,EE Shillai,Internal,"AE shillai, HDM, Supdt. TA",Pramod Upreti,04-Jan-2022 03:18 PM,04-Jan-2022 03:25 PM,techsummary_82356.pdf (1027.99 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,13-Jan-2022 12:35 PM,finsummary_82356.pdf (131.48 KB),07-Jul-2022,"INR 1,930,161",90.0,Pramod Upreti,07-Jul-2022 04:40 PM,nnn.pdf (863.00 KB),1.0,252511.0,HAMENT KUMAR,27-Dec-2021 03:47 PM,Rejected-Finance,Not lowest,13-Jan-2022 12:35 PM,Technical,technical summary,Pramod Upreti,04-Jan-2022 03:16 PM,technical_82356.pdf,Finance,financial summary,Pramod Upreti,13-Jan-2022 12:29 PM,None,BOQ Comparative Chart,1.0,252317.0,NITIN SHARMA,INR,"1,930,161",AOC
,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,252317.0,NITIN SHARMA,27-Dec-2021 03:25 PM,Accepted-AOC,AOC,07-Jul-2022 04:40 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,252809.0,RUPESH KUMAR,28-Dec-2021 02:09 PM,Rejected-Finance,Not lowest,13-Jan-2022 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit regarding true and correct duly attested by the Notary/Executive Magistrate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
