Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
31-Jul-2022,"INR 8,017,800",365.0,Sanjay Katoch,31-Jul-2022 03:52 PM,KotluFFFFF.pdf (1273.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,09-Jun-2022 06:30 PM,finsummary_88533.pdf (648.02 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,02-May-2022 04:59 PM,06-May-2022 02:30 PM,techsummary_88533.pdf (1524.17 KB),PWD,2022_PWD_58550_1,C/O link road Lahar Kotlu Dhanyal km 0/0 to 1/300,Construction of link road Lahar Kotlu to Dhanyal km 0/0 to 1/300,1.0,273621.0,ravinder kumar,INR,"7,260,679.6",Finance,Attached,Sanjay Katoch,09-Jun-2022 06:27 PM,finance_88533.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,02-May-2022 04:56 PM,technical_88533.pdf,1.0,273950.0,AMIN CHAUHAN,01-Apr-2022 08:33 PM,Rejected-Finance,l3,09-Jun-2022 06:30 PM,AOC,PWD,C/O link road Lahar Kotlu Dhanyal km 0/0 to 1/300,2022_PWD_58550_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,000",Nil,Nil,No,"1,25,000",No,fixed,,Nil,Nil,25-Mar-2022 09:00 AM,02-Apr-2022 11:30 AM,25-Mar-2022 09:00 AM,02-Apr-2022 10:30 AM,NA ,NA ,25-Mar-2022 09:00 AM,02-Apr-2022 10:30 AM,06-May-2022 02:30 PM,1.0,Corrigendum,Date,,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Construction of link road Lahar Kotlu to Dhanyal km 0/0 to 1/300,"SH Construction of 5/7 metre wide road formation cutting 900mm dia RCC Hume Pipe Culvert, cement concrete pavement construction of V-Shape drain providing and laying parapets metaling tarring sign board and km stone in km 0/0 to 1/300",Please refer Tender documents. ,NA ,"99,09,677",Civil Works - Roads,NA ,Tender,75.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274275.0,Maheshrajan,01-Apr-2022 07:18 PM,Rejected-Finance,l2,09-Jun-2022 06:30 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274039.0,PARDEEP KUMAR GOVT. CONTRACTOR,31-Mar-2022 09:59 AM,Rejected-Technical,Rejected,02-May-2022 04:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,274119.0,RAMAN KUMAR,01-Apr-2022 08:25 PM,Rejected-Technical,Rejected,02-May-2022 04:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,273621.0,ravinder kumar,30-Mar-2022 09:44 PM,Accepted-AOC,l1,31-Jul-2022 03:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year,AOC
