Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Ravi Bhatti,Internal,"Hukam Singh Thakur, Head D/man, Jia Lal Draughtsman",Rajesh Kumar,26-May-2022 03:40 PM,finsummary_89676.pdf (390.75 KB),05-Jul-2022,"INR 1,227,663",30.0,Rajesh Kumar,20-Jul-2022 03:07 PM,Award.pdf (715.00 KB),Award letter,PWD,2022_PWD_59239_1,THD/CB-tender/2021-17004-18,Construction of Chewn Nalla to Khalantu road km 0.00 to 2.975,"Ajjay Gazta, A.E.",Internal,"Deepak Sharma, Sr. DAO, Kewal Ram, Supdt. Gr-II, Jia Lal, D/man, Leela Verma, Sr. Asstt.",Rajesh Kumar,23-Apr-2022 02:49 PM,25-Apr-2022 11:00 AM,techsummary_89676.pdf (462.56 KB),Technical,Bid Opening summary,Rajesh Kumar,20-Apr-2022 12:28 PM,technical_89676.pdf,1.0,278185.0,Indu Verma,18-Apr-2022 01:07 PM,Rejected-Finance,Being higher rates,26-May-2022 03:40 PM,1.0,278113.0,Mohinder Singh Govt. Contractor,INR,"1,076,419",Finance,Financial bid opening summary,Rajesh Kumar,25-Apr-2022 12:19 PM,finance_89676.pdf,BOQ Comparative Chart,AOC,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"24,600",No,fixed,,Nil,Nil,Executive Engineer,"Theog Division, H.P.P.W.D., Theog",Construction of Chewn Nalla to Khalantu road km 0.00 to 2.975,Formation cutting in km 1.410 to 2.065,As per GCC ,NA ,"12,27,663",Civil Works - Roads,NA ,Tender,90.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,ICICI BANK,07-Apr-2022 05:00 PM,19-Apr-2022 11:00 AM,07-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,NA ,NA ,07-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,25-Apr-2022 11:00 AM,PWD,THD/CB-tender/2021-17004-18,2022_PWD_59239_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,277326.0,MOHINDER KALTA,18-Apr-2022 10:32 AM,Rejected-Finance,Being higher rates,26-May-2022 03:40 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,278113.0,Mohinder Singh Govt. Contractor,18-Apr-2022 10:48 AM,Accepted-AOC,Being L1,20-Jul-2022 03:07 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
