Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
ParveenKumarVermaEE,Internal,Padam SharmaHDMRKThakurSupdtDeeparSharmaSrDAOP.K.VermaE.E.,Parveen Kumar Verma,18-Jun-2022 01:09 PM,finsummary_92615.pdf (309.17 KB),11-Jul-2022,"INR 2,405,367",30.0,Bhupender Singh,07-Jul-2023 03:23 PM,JAG2AOC.pdf (436.00 KB),AOC,PWD,2022_PWD_61343_1,SD-III-(T)-6213-30dt.31-5-2022,"Construction of Multi-story parking and office accommodation (Armsdale building Phase-III) at H.P Sectt. Shimla (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs and scaffolding for plastering, lift and connecting bridge etc.).",parveenkumarvermaE.E.,Internal,padamsharmaHDMRSThakurSupdt.DeepaksharmaSr.DAOP.K.VermaE.E.,Parveen Kumar Verma,17-Jun-2022 03:57 PM,17-Jun-2022 04:00 PM,techsummary_92615.pdf (440.18 KB),1.0,286116.0,Jagdish Verma,INR,"2,405,367",Finance,TES,Parveen Kumar Verma,17-Jun-2022 05:17 PM,finance_92615.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Parveen Kumar Verma,17-Jun-2022 03:33 PM,technical_92615.pdf,1.0,286138.0,FURKAN AHEMED,09-Jun-2022 08:38 PM,Rejected-Finance,L2,18-Jun-2022,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",500.0,Nil,Nil,No,03-Jun-2022 09:30 AM,13-Jun-2022 11:00 AM,03-Jun-2022 10:00 AM,10-Jun-2022 06:00 PM,NA ,NA ,03-Jun-2022 10:00 AM,10-Jun-2022 06:00 PM,17-Jun-2022 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"Construction of Multi-story parking and office accommodation (Armsdale building Phase-III) at H.P Sectt. Shimla (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs and scaffolding for plastering, lift and connecting bridge etc.).","Construction of Multi-story parking and office accommodation (Armsdale building Phase-III) at H.P Sectt. Shimla (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs and scaffolding for plastering, lift and connecting bridge etc.).",As per SBD ,NA ,"23,20,187",Civil Works - Bridges,NA ,Tender,75.0,30.0,Armsdale,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,PWD,SD-III-(T)-6213-30dt.31-5-2022,2022_PWD_61343_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"46,410",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286116.0,Jagdish Verma,09-Jun-2022 07:36 PM,Accepted-AOC,L1,07-Jul-2023,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286134.0,Mohmad Kamran,09-Jun-2022 08:04 PM,Rejected-Finance,L3,18-Jun-2022,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
