S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,"98,400",No,fixed,,Nil,Nil,"5,900",Nil,Nil,No,HP SIDC Limited,Job No. 11,2022_SIDC_55372_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,05-Jan-2022 11:00 AM,13-Jan-2022 11:00 AM,05-Jan-2022 11:00 AM,12-Jan-2022 05:00 PM,NA ,NA ,05-Jan-2022 11:00 AM,12-Jan-2022 05:00 PM,09-Feb-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Construction of Approach Road Taking off from HPPWD Road Ispur Labana Majra Road KM 1/750 RD 0/00 to 0/867.80 in BBT Corridor Distt. Una (HP).,Construction of Approach Road Taking off from HPPWD Road Ispur Labana Majra Road KM 1/750 RD 0/00 to 0/867.80 in BBT Corridor Distt. Una (HP).,Please refer Tender documents. ,NA ,"65,82,800",Civil Works,NA ,Tender,120.0,120.0,Tahliwala,174301.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,Executive Engineer,HPSIDC Shimla,AOC,Finance,Financial summary,Sushant Singh Negi,14-Feb-2022 03:05 PM,finance_83031.pdf,BOQ Comparative Chart,1.0,254877.0,Ankur sharma,12-Jan-2022 03:08 PM,Accepted-AOC,AOC,06-Jul-2022 03:31 PM,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,09-Feb-2022 01:05 PM,09-Feb-2022 03:00 PM,techsummary_83031.pdf (474.28 KB),Technical,Technical summary,Sushant Singh Negi,09-Feb-2022 01:03 PM,technical_83031.pdf,1.0,254877.0,Ankur sharma,INR,"5,544,223",22-Feb-2022,"INR 5,544,223",120.0,Sushant Singh Negi,06-Jul-2022 03:31 PM,labanamajra.pdf (1597.00 KB),Award letter,HP SIDC Limited,2022_SIDC_55372_1,Job No. 11,Construction of Approach Road Taking off from HPPWD Road Ispur Labana Majra Road KM 1/750 RD 0/00 to 0/867.80 in BBT Corridor Distt. Una (HP).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,14-Feb-2022 03:09 PM,finsummary_83031.pdf (35.59 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,254774.0,Balbir Singh Govt Contractor,11-Jan-2022 02:26 PM,Rejected-Finance,Fifth lowest bidder,14-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,255047.0,Chetan Chabba,11-Jan-2022 03:13 PM,Rejected-Finance,Second lowest bidder,14-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,254749.0,Lalit Joshi,12-Jan-2022 10:16 AM,Rejected-Technical,The successfully completed similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not submitted as per condition of tender.,09-Feb-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,255156.0,Mukesh Kumar,12-Jan-2022 10:57 AM,Rejected-Finance,Sixth lowest bidder,14-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,255059.0,Nitish Thakur,12-Jan-2022 11:19 AM,Rejected-Finance,Third lowest bidder,14-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,254484.0,Tilak Raj Govt Contractor,11-Jan-2022 08:05 PM,Rejected-Finance,Fourth lowest bidder,14-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
