Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
16-Jul-2022,"INR 5,233,886",180.0,Ravi Bhatti,22-Mar-2024 03:58 PM,AOC.pdf (433.00 KB),AOC,Er Arvind Sharma EE B and R Division HPPWD Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,15-Feb-2022 03:13 PM,finsummary_83690.pdf (35.91 KB),Er Arvind Sharma EE B and R Division HPPWD Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,14-Feb-2022 11:18 AM,14-Feb-2022 11:20 AM,techsummary_83690.pdf (21.77 KB),PWD,2022_PWD_55695_1,14008-16 dated 05.01.2022 link road to Village Kat,Restoration of link road to Village Katoch from Kaithlighat from RD0/110 to 0/230,Technical,Technical bid opening summary,Arvind Kumar,27-Jan-2022 12:02 PM,technical_83690.pdf,1.0,257403.0,ABHINEET SHARMA,20-Jan-2022 08:04 AM,Rejected-Finance,L3,15-Feb-2022,Finance,Financial bid opening summary,Arvind Kumar,15-Feb-2022 03:09 PM,finance_83690.pdf,BOQ Comparative Chart,1.0,256603.0,M/S BAJRANG ENGINEERING WORKS,INR,"5,233,886",1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in Schedule F General Rule NO24.1,Executive Engineer B and R Division HPPWD Solan,Near new Bus Stand Bye pass road Solan,Restoration of link road to Village Katoch from Kaithlighat from RD0/110 to 0/230,SH Construction of retaining wall breast wall Providing and laying GSB in Km0/110 to 0/230,Please refer Tender documents. ,NA ,"74,76,726",Civil Works,NA ,Tender,90.0,180.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"2,000",Nil,Nil,No,"1,07,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,14008-16 dated 05.01.2022 link road to Village Kat,2022_PWD_55695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,14-Jan-2022 02:00 PM,21-Jan-2022 11:00 AM,14-Jan-2022 02:00 PM,21-Jan-2022 10:30 AM,NA ,NA ,14-Jan-2022 02:00 PM,21-Jan-2022 10:30 AM,14-Feb-2022 11:20 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,257148.0,BHUPENDER SINGH THAKUR,20-Jan-2022 08:09 PM,Rejected-Technical,"Contractor has not full fillment the ciritira of Annnual financial Turn over from CA during the last five Years to calculate the Bidding capacity. Hence, his bid is declared non responsive by the designated committe members.",14-Feb-2022,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,257583.0,MANTU KUMAR GUPTA,20-Jan-2022 04:37 PM,Rejected-Finance,L2,15-Feb-2022,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,256603.0,M/S BAJRANG ENGINEERING WORKS,20-Jan-2022 02:09 PM,Accepted-AOC,AOC,22-Mar-2024,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,256416.0,Rajinder Sharma,19-Jan-2022 02:12 PM,Rejected-Finance,L5,15-Feb-2022,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,257523.0,Vinay Thakur,20-Jan-2022 04:55 PM,Rejected-Finance,L4,15-Feb-2022,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have not more than two works in hand refer general rules and directions in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
