Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
"Construction of Baily Sanged Road km.0/0 to 1/935 under SCSP Formation Cutting, Retaining Walls Breast wall, X- Drainage work","Construction of Baily Sanged Road km.0/0 to 1/935 under SCSP Formation Cutting, Retaining Walls Breast wall, X- Drainage work",Please refer Tender documents. ,NA ,"59,36,734",Civil Works - Roads,NA ,Tender,90.0,270.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,PWD,Construction of Baily Sanged Road km.0/0 to 1/935,2020_PWD_38893_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",Executive Engineer Chamba Division HPPWD. Chamba,Chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,1.0,DD - Demand Draft,15-Jul-2020 10:00 AM,30-Jul-2020 11:30 AM,15-Jul-2020 10:00 AM,29-Jul-2020 05:00 PM,NA ,NA ,15-Jul-2020 10:00 AM,29-Jul-2020 05:00 PM,14-Aug-2020 11:30 AM,"92,000",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,AOC,PWD,2020_PWD_38893_1,Construction of Baily Sanged Road km.0/0 to 1/935,"Construction of Baily Sanged Road km.0/0 to 1/935 under SCSP Formation Cutting, Retaining Walls Breast wall, X- Drainage work",1.0,170534.0,Kamlesh Kumar Govt. Contractor,29-Jul-2020 03:38 PM,Rejected-Technical,Non Responsive,07-Aug-2020 03:00 PM,Technical,Bid opening Summary,Jeet Singh Thakur,07-Aug-2020 02:51 PM,technical_57434.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,170224.0,Kesari Enterprises,28-Jul-2020 05:34 PM,Rejected-Technical,Non Responsive,07-Aug-2020 03:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,170494.0,Lalit Pal,29-Jul-2020 02:21 PM,Rejected-Technical,Non Responsive,07-Aug-2020 03:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,170532.0,Manesh Mehta,29-Jul-2020 03:04 PM,Rejected-Finance,3rd lowest,07-Jul-2022 12:05 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,AOC,,,,,5.0,170161.0,Narinder Thakur,29-Jul-2020 04:58 PM,Rejected-Finance,2nd lowest,07-Jul-2022 12:05 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,AOC,,,,,6.0,170153.0,PAVNESH KUMAR,29-Jul-2020 01:13 PM,Rejected-Technical,Non Responsive,07-Aug-2020 03:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,AOC,,,,,7.0,170245.0,Sharma Constructions,28-Jul-2020 06:57 PM,Rejected-Technical,non Responsive,07-Aug-2020 03:00 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Own Excavator-cum-Loader documentary proof for the same will have to be furnished by the Contractor,,,,,,,,,,,,,,,,,,,,AOC,,,,,8.0,170061.0,Yoginder Sharma,28-Jul-2020 11:37 AM,Accepted-AOC,Work awarded,07-Jul-2022 12:19 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
