S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,266638.0,HYDROMATERIALS PRIVATE LIMITED,25-Feb-2022 10:55 AM,Accepted-AOC,AOC,05-Jul-2022 04:24 PM,Chief Engg,Internal,AED EED EEJSV Nahan SENAhan SED CE,Ashish Rana,15-Mar-2022 12:06 PM,15-Mar-2022 12:10 PM,techsummary_85136.pdf (317.11 KB),Technical,Technical Cover-2 Summary,Ashish Rana,15-Mar-2022 12:05 PM,technical_85136.pdf,Finance,Financial Summary,Ashish Rana,15-Mar-2022 12:20 PM,finance_85136.pdf,BOQ Comparative Chart,05-Jul-2022,"INR 19,731,610",90.0,Ashish Rana,05-Jul-2022 04:24 PM,AOC.pdf (466.00 KB),Award to Contractor,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_56531_1,NHN-SMROO-722- 15789-869 dt 08/02/22,Providing IoT based instrumentation to monitor quality and quantity of drinking water in various water supply schemes under Jal Shakti Circle Nahan in District Sirmour HP Under JJM,1.0,266638.0,HYDROMATERIALS PRIVATE LIMITED,INR,"23,064,235",CE Shimla,Internal,Various,Ashish Rana,05-Jul-2022 04:21 PM,finsummary_85136.pdf (450.02 KB),AOC,09-Feb-2022 05:00 PM,25-Feb-2022 11:30 AM,09-Feb-2022 05:00 PM,25-Feb-2022 11:00 AM,NA ,NA ,09-Feb-2022 05:00 PM,25-Feb-2022 11:00 AM,15-Mar-2022 12:10 PM,Providing IoT based instrumentation to monitor quality and quantity of drinking water in various water supply schemes under Jal Shakti Circle Nahan in District Sirmour HP Under JJM,As Above,Please refer Tender documents. ,NA ,"1,97,31,610",Plant Protection Input/Equipment Works,NA ,Tender,90.0,NA ,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"2,30,000",No,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,"2,500",Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 15789-869 dt 08/02/22,2022_HPIPH_56531_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,Fee,.pdf,Earnest Money as mentioned in NIT,AOC
2.0,263441.0,Jain Irrigation Systems Ltd.,25-Feb-2022 10:27 AM,Rejected-Finance,Reject,05-Jul-2022 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. and EPF Registration as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax return filed as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and clearance certificate as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Banker certificate as proof 30 percent of estimate cost as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization of DSC certificate as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all term and condition as mentioned in NIT,AOC
