Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
07-Jul-2022,"INR 2,205,008",365.0,Jeet Singh Thakur,07-Jul-2022 10:01 AM,3.5713-719.pdf (807.00 KB),Routine Maintenance of road from Parel to Kohlari km 0/0 to 12/500 and Chamba to Saroo Km 4/0 to 14/0 under Performance based maintenance Contract for the year 2020-21,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Jul-2022 09:52 AM,finsummary_56873.pdf (189.54 KB),EE,Internal,Assistant Engineer Superintending and Senior Assistant,Jeet Singh Thakur,25-Jul-2020 11:41 AM,29-Jul-2020 11:30 AM,techsummary_56873.pdf (276.53 KB),PWD,2020_PWD_38502_1,No.PWC-WA-II /Contt/2020-2840-41 dated 26.6.20,Routine Maintenance of road from Parel to Kohlari km 0/0 to 12/500 and Chamba to Saroo Km 4/0 to 14/0 under Performance based maintenance Contract for the year 2020-21,Finance,BOS,Jeet Singh Thakur,17-Aug-2020 05:05 PM,finance_56873.pdf,BOQ Comparative Chart,1.0,168318.0,Manesh Mehta,INR,"2,465,670",Technical,Bid opening Summary,Jeet Singh Thakur,25-Jul-2020 11:33 AM,technical_56873.pdf,1.0,168318.0,Manesh Mehta,19-Jul-2020 08:23 PM,Accepted-AOC,L1,07-Jul-2022 10:01 AM,AOC,PWD,No.PWC-WA-II /Contt/2020-2840-41 dated 26.6.20,2020_PWD_38502_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,01-Jul-2020 06:00 PM,21-Jul-2020 11:30 AM,01-Jul-2020 06:00 PM,20-Jul-2020 05:00 PM,NA ,NA ,01-Jul-2020 06:00 PM,20-Jul-2020 05:00 PM,29-Jul-2020 11:30 AM,"44,100",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender in shape of Demand Draft,1.0,date extend,Date,,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,DD - Demand Draft,Routine Maintenance of road from Parel to Kohlari km 0/0 to 12/500 and Chamba to Saroo Km 4/0 to 14/0 under Performance based maintenance Contract for the year 2020-21,Routine Maintenance of road from Parel to Kohlari km 0/0 to 12/500 and Chamba to Saroo Km 4/0 to 14/0 under Performance based maintenance Contract for the year 2020-21,Please refer Tender documents. ,NA ,"22,05,008",Civil Works,NA ,Tender,90.0,365.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,500.0,Executive Engineer Chamba Division HPPWD Chamba,Chamba,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,168442.0,Rishabh Mehta,20-Jul-2020 04:01 PM,Rejected-AOC,L2,07-Jul-2022 10:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security in shape of FDR,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of fifty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,details of the technical personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information regarding any litigation during the last five years in which the Bidder is involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A copy of PAN issued by Income Tax Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with the bid document is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover in last five year years from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid in PDF Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
