Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",28-Mar-2022 10:15 AM,04-Apr-2022 11:30 AM,28-Mar-2022 10:30 AM,04-Apr-2022 11:00 AM,NA ,NA ,28-Mar-2022 10:35 AM,04-Apr-2022 11:00 AM,06-Apr-2022 11:00 AM,"1,00,100",No,fixed,,Nil,Nil,Annual maintenance plan for the year 2022-23 on Barin Dhawal road km. 0/0 to 6/0.,Jhanikar to Barin road km. 0/0 to 1/330 Link Road to Vill,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,75.0,60.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,1.0,ICICI BANK,PWD,NO. 20121-175 dt. 16.03.2022,2022_PWD_58704_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,Yes,AOC,Finance,SUMMARYATTACHED,Virender Singh Guleria,06-Jul-2022 05:53 PM,finance_88777.pdf,BOQ Comparative Chart,1.0,274751.0,MSC Roads and Bridges Private Limited,INR,"6,506,831",1.0,274642.0,MOHINDER PAL GOVT. CONTRACTOR,02-Apr-2022 03:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2022 03:55 PM,Technical,ATTACHED,Virender Singh Guleria,04-Apr-2022 03:55 PM,technical_88777.pdf,EXECUTIVEENGINEER,Internal,SUPDT HDM DAO,Virender Singh Guleria,04-Apr-2022 03:56 PM,06-Apr-2022 11:00 AM,techsummary_88777.pdf (931.42 KB),PWD,2022_PWD_58704_1,NO. 20121-175 dt. 16.03.2022,Annual maintenance plan for the year 2022-23 on Barin Dhawal road km. 0/0 to 6/0.,06-Jul-2022,"INR 6,764,266",60.0,Virender Singh Guleria,06-Jul-2022 06:01 PM,58704AWARD.pdf (866.00 KB),AWARDATTACHED,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Virender Singh Guleria,06-Jul-2022 05:56 PM,finsummary_88777.pdf (660.01 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,274751.0,MSC Roads and Bridges Private Limited,03-Apr-2022 07:39 PM,Accepted-AOC,AWARDL1,06-Jul-2022 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,274674.0,Piar Chand Chauhan,03-Apr-2022 12:39 PM,Rejected-AOC,REJECTL2,06-Jul-2022 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 26.1),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provided.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29 .,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The contractor should have completed the Bituminous work not less than 40 percent of estimated cost,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The radius distance of hot mix plant to site of work should be within 25 Km,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
