Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PWD- Civil-1065-95-Tanda,2022_PWD_59920_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"52,450",No,fixed,,Nil,Nil,01-Jun-2022 11:00 AM,07-Jun-2022 11:30 AM,01-Jun-2022 11:00 AM,07-Jun-2022 10:00 AM,NA ,NA ,01-Jun-2022 11:00 AM,07-Jun-2022 10:00 AM,16-Jun-2022 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,Construction of Bandi Matiyari Mumta road Km 0/000 to 3/600 in Distt Kangra (HP),"B/w of F/C work at RD 2/320to2/380,2/490to2/550,C/O Ushape drain in bet. Km 2/150 to 2/350, C/O parap. in bet. Km 0/000 to 3/600, P/L CC pave. bet Km 3/240 to 3/465 and P/L tarring in bet. Km 2/150 in bet. Km to 2/750, 2/940 to 3/240.3/465to3/600",Please refer Tender documents. ,NA ,"30,15,110",Civil Works - Roads,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,ICICI BANK,"1,500",Nil,Nil,No,AOC,PWD,2022_PWD_59920_3,PWD- Civil-1065-95-Tanda,Construction of Bandi Matiyari Mumta road Km 0/000 to 3/600 in Distt Kangra (HP),Executive Engineer,Internal,AE DAO Supdt HDM,Ankit Kumar,15-Jun-2022 11:58 AM,16-Jun-2022 10:00 AM,techsummary_92541.pdf (862.74 KB),Executive Engineer,Internal,Supdt. DAO Supdt HDM,Suresh Kumar Walia,22-Jun-2022 11:26 AM,finsummary_92541.pdf (17.91 KB),14-Jul-2022,"INR 3,015,110",90.0,Suresh Kumar Walia,19-Jul-2022 09:52 AM,Award.pdf (415.00 KB),Award,1.0,285510.0,Chamunda Construction Works,INR,"2,997,068",Finance,sum,Suresh Kumar Walia,22-Jun-2022 11:25 AM,finance_92541.pdf,BOQ Comparative Chart,1.0,285528.0,atul thakur,06-Jun-2022 02:49 PM,Rejected-Technical,Not Fulfill Criteria,15-Jun-2022 11:58 AM,Technical,sum,Ankit Kumar,15-Jun-2022 11:57 AM,technical_92541.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285510.0,Chamunda Construction Works,07-Jun-2022 09:43 AM,Accepted-AOC,Award,19-Jul-2022 09:52 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration PAN No EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285644.0,ONAM SHARMA,07-Jun-2022 09:56 AM,Rejected-Finance,Lowest 2,22-Jun-2022 11:26 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"All terms of condition in SBD, E-mail addresses and Mobile Number",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
