Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,BOS,Jeet Singh Thakur,21-May-2021 03:50 PM,technical_71144.pdf,1.0,212712.0,VP SHARMA,18-May-2021 07:34 PM,Rejected-Finance,2nd lowest,25-Aug-2021 04:03 PM,Finance,BOS,Jeet Singh Thakur,25-Aug-2021 04:01 PM,finance_71144.pdf,BOQ Comparative Chart,1.0,212345.0,Yash Paul Govt.Contractor,INR,"8,286,724",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,25-Aug-2021 04:03 PM,finsummary_71144.pdf (115.95 KB),21-Jul-2022,"INR 7,652,947",60.0,Jeet Singh Thakur,21-Jul-2022 05:13 PM,1.4315-24.pdf (872.00 KB),"Annual Maintenance on Shahpur-Sihunta Chowari Jot Chamba road Km. 78/0 to 80/0, 81/0 to 82/0 and 86/0 to 87/0 for the year 2021-22",PWD,2021_PWD_47388_1,No.PWC-WA- II- 1201-1300 dated 30.4.2021,"Annual Maintenance on Shahpur-Sihunta Chowari Jot Chamba road Km. 78/0 to 80/0, 81/0 to 82/0 and 86/0 to 87/0 for the year 2021-22",Executive Engineer,Internal,Assistant Engineer Superintendent and Senior assistant,Jeet Singh Thakur,21-May-2021 04:09 PM,24-May-2021 11:30 AM,techsummary_71144.pdf (235.14 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,"Annual Maintenance on Shahpur-Sihunta Chowari Jot Chamba road Km. 78/0 to 80/0, 81/0 to 82/0 and 86/0 to 87/0 for the year 2021-22","Annual Maintenance on Shahpur-Sihunta Chowari Jot Chamba road Km. 78/0 to 80/0, 81/0 to 82/0 and 86/0 to 87/0 for the year 2021-22",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,11-May-2021 05:00 PM,20-May-2021 11:30 AM,11-May-2021 05:00 PM,19-May-2021 05:00 PM,NA ,NA ,11-May-2021 05:00 PM,19-May-2021 05:00 PM,24-May-2021 11:30 AM,"1,53,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,PWD,No.PWC-WA- II- 1201-1300 dated 30.4.2021,2021_PWD_47388_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,2.0,212345.0,Yash Paul Govt.Contractor,18-May-2021 08:39 PM,Accepted-AOC,work completed,21-Jul-2022 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Own Hot Mix Plant Paver Finisher and road Roller documentary proof for the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
