Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
13-Jul-2022,"INR 1,229,660",30.0,Jitender Kumar,13-Jul-2022 03:08 PM,AOCrwallvvpats61513.PDF (374.00 KB),Award letter No. 5552-64,Er. J.K. Gupta,Internal,AE Kamand Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jul-2022 02:35 PM,finsummary_92829.pdf (389.21 KB),Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,01-Jul-2022 03:59 PM,04-Jul-2022 11:00 AM,techsummary_92829.pdf (347.38 KB),PWD,2022_PWD_61513_1,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,Construction of warehouse for the storage of EVM and VVPATs at Bhiuli District Mandi (H.P.).,Technical,summary,Jitender Kumar,18-Jun-2022 11:31 AM,technical_92829.pdf,1.0,287239.0,Abhishek Gupta,17-Jun-2022 12:44 AM,Accepted-AOC,AOC,13-Jul-2022 03:08 PM,Finance,fbosummary,Jitender Kumar,06-Jul-2022 02:51 PM,finance_92829.pdf,BOQ Comparative Chart,1.0,287239.0,Abhishek Gupta,INR,"1,106,693.7",AOC,09-Jun-2022 11:00 AM,17-Jun-2022 11:30 AM,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,NA ,NA ,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,"24,600",No,fixed,,Nil,Nil,PWD,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,2022_PWD_61513_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of warehouse for the storage of EVM and VVPATs at Bhiuli District Mandi (H.P.).,Construction of Retaining wall for the protection of road for EVM and VVPATs building at Bhiuli,As per bid documents ,NA ,"12,29,660",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mandi,175001.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),1.0,ICICI BANK,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287241.0,PANKAJ BEHL,17-Jun-2022 08:37 AM,Rejected-Finance,L-2,13-Jul-2022 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
