Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
07-Jul-2022,"INR 771,568",60.0,Jeet Singh Thakur,07-Jul-2022 02:15 PM,10.593.99.pdf (594.00 KB),"Construction of Sultanpur Draman road Km. 0/0 to 5/0 Improvement of curves, laying of pavers and const. of drain",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Jul-2022 02:13 PM,finsummary_64677.pdf (183.92 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Mar-2021 07:00 PM,09-Mar-2021 11:30 AM,techsummary_64677.pdf (272.09 KB),PWD,2020_PWD_43522_1,No. 13485-585 dated 4.2.21,"Construction of Sultanpur Draman road Km. 0/0 to 5/0 Improvement of curves, laying of pavers and const. of drain",Technical,BOS,Jeet Singh Thakur,06-Mar-2021 06:58 PM,technical_64677.pdf,1.0,200611.0,Ram Singh,25-Feb-2021 03:16 PM,Rejected-Finance,2nd lowest,07-Jul-2022 02:13 PM,1.0,200535.0,VEER SINGH,INR,"1,528,170",Finance,BOS,Jeet Singh Thakur,07-Jul-2022 02:10 PM,finance_64677.pdf,BOQ Comparative Chart,AOC,"15,500",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,"Construction of Sultanpur Draman road Km. 0/0 to 5/0 Improvement of curves, laying of pavers and const. of drain","Construction of Sultanpur Draman road Km. 0/0 to 5/0 Improvement of curves, laying of pavers and const. of drain",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,15-Feb-2021 10:00 AM,26-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,25-Feb-2021 05:00 PM,NA ,NA ,15-Feb-2021 10:00 AM,25-Feb-2021 05:00 PM,09-Mar-2021 11:30 AM,1.0,DD - Demand Draft,350.0,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,PWD,No. 13485-585 dated 4.2.21,2020_PWD_43522_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200535.0,VEER SINGH,25-Feb-2021 02:35 PM,Accepted-AOC,work awarded/completed,07-Jul-2022 02:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST No.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in Hand/ongoing work,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinary,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
