EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"46,000",Yes,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,ICICI BANK,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",28-Mar-2022 10:30 AM,04-Apr-2022 11:30 AM,28-Mar-2022 11:00 AM,04-Apr-2022 11:00 AM,NA ,NA ,28-Mar-2022 05:15 PM,04-Apr-2022 11:00 AM,06-Apr-2022 11:00 AM,PWD,NO. 20121-175 dt. 16.03.2022,2022_PWD_58695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Annual Maintenance Plan for the year 2022-23 on Tauni Devi Uhal Kakkar Bajrol Jungle Beri road km. 15/0 to 30/915.,"(SH- Repair to pot holes, P/L tack coat, P/L 30mm thick B.C. and 2.5mm thick road marking thermoplastic strip from km. 19/0 to 20/0 and 20/0 to 21/0).",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,75.0,60.0,TAUNIDEVI,177023.0,NA ,NA ,NA ,TAUNIDEVI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,PWD,2022_PWD_58695_1,NO. 20121-175 dt. 16.03.2022,Annual Maintenance Plan for the year 2022-23 on Tauni Devi Uhal Kakkar Bajrol Jungle Beri road km. 15/0 to 30/915.,EXECUTIVEENGINEER,Internal,SUPDT HDM DAO,Virender Singh Guleria,04-Apr-2022 03:46 PM,06-Apr-2022 11:00 AM,techsummary_88767.pdf (930.47 KB),EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Virender Singh Guleria,06-Jul-2022 06:17 PM,finsummary_88767.pdf (642.77 KB),06-Jul-2022,"INR 2,572,775",60.0,Virender Singh Guleria,06-Jul-2022 06:23 PM,58695AWARD.pdf (912.00 KB),AWARDATTACHED,Finance,SUMMARYATTACHED,Virender Singh Guleria,06-Jul-2022 06:13 PM,finance_88767.pdf,BOQ Comparative Chart,1.0,274866.0,Arvind Sharma,INR,"2,343,338",1.0,274866.0,Arvind Sharma,03-Apr-2022 08:21 PM,Accepted-AOC,AWARDL1,06-Jul-2022 06:23 PM,Technical,ATTACHED,Virender Singh Guleria,04-Apr-2022 03:44 PM,technical_88767.pdf,AOC
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274828.0,Bikesh Kumar Govt Contractor,03-Apr-2022 05:07 PM,Rejected-AOC,L3,06-Jul-2022 06:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274835.0,PARDEEP KUMAR GOVT. CONTRACTOR,04-Apr-2022 09:17 AM,Rejected-AOC,L4,06-Jul-2022 06:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,274682.0,Piar Chand Chauhan,03-Apr-2022 03:15 PM,Rejected-AOC,L2,06-Jul-2022 06:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
