Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",BHUP SINGH,28-Apr-2022 12:49 PM,finsummary_85714.pdf (51.16 KB),HP SIDC Limited,2022_SIDC_56874_1,Job No. 14,"C/o Approach road taking off from NH-105 near Chikni bridge to API Industrial Unit at Palassara Teh. Nalagarh Distt. Solan (HP). (SH- C/o road, road side drains, Culverts, R/wall, Toe wall and wire crate work).",01-Jul-2022,"INR 137,743,153",540.0,Sushant Singh Negi,12-Jul-2022 03:21 PM,palassaraward.pdf (2088.00 KB),Award letter,1.0,267082.0,Atul Sharma,INR,"137,743,153",Technical,Bid opening summary,Sushant Singh Negi,02-Mar-2022 01:20 PM,technical_85714.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,21-Apr-2022 04:38 PM,22-Apr-2022 11:00 AM,techsummary_85714.pdf (3560.27 KB),1,267083,Asphalt Carpet Construction Company,28-Feb-2022 04:33 PM,Rejected-Technical,The similar type of work done of minimum amount not less than 40percent of estimated cost in last five years has not submitted as per condition of tender.,21-Apr-2022 04:38 PM,Finance,Financial summary,Sushant Singh Negi,22-Apr-2022 03:26 PM,finance_85714.pdf,BOQ Comparative Chart,AOC,"C/o Approach road taking off from NH-105 near Chikni bridge to API Industrial Unit at Palassara Teh. Nalagarh Distt. Solan (HP). (SH- C/o road, road side drains, Culverts, R/wall, Toe wall and wire crate work).","(SH- C/o road, road side drains, Culverts, R/wall, Toe wall and wire crate work).",Please refer Tender documents. ,NA ,"19,61,85,334",Civil Works - Roads,NA ,Tender,120.0,540.0,Nalagarh (Solan),174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Executive Engineer,HPSIDC Shimla,"5,900",Nil,Nil,No,HP SIDC Limited,Job No. 14,2022_SIDC_56874_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,00,000",No,fixed,,Nil,Nil,21-Feb-2022 11:00 AM,02-Mar-2022 11:00 AM,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,NA ,NA ,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,22-Apr-2022 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,267082,Atul Sharma,28-Feb-2022 01:46 PM,Accepted-AOC,AOC,12-Jul-2022 03:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,267023,DEEPAK JOSHI,28-Feb-2022 04:40 PM,Rejected-Finance,Seventh lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,265445,Dharmender Singh Thakur,28-Feb-2022 12:06 PM,Rejected-Technical,The similar type of work done in last five years has not submitted as per condition of tender.,21-Apr-2022 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,266652,GARG SONS ESTATE PROMOTERS PVT LTD,28-Feb-2022 03:56 PM,Rejected-Finance,Tenth lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,267047,Krishna Construction Co.,28-Feb-2022 01:53 PM,Rejected-Finance,Eighth lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,267179,MVD Bhambhu JV,28-Feb-2022 04:32 PM,Rejected-Finance,Third lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,266310,Om Parkash Sharma And Sons,28-Feb-2022 01:55 PM,Rejected-Finance,Ninth lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,266885,P K Construction Shimla Pvt Ltd,26-Feb-2022 03:47 PM,Rejected-Finance,Eleventh lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,265717,RAJESH KUMAR GOVT CONTRACTOR,28-Feb-2022 02:15 PM,Rejected-Finance,Sixth lowest bidder,28-Apr-2022 12:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
