Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,BOQ,Jeet Singh Thakur,23-Apr-2022 04:53 PM,technical_90023.pdf,1.0,278330.0,Manesh Mehta,21-Apr-2022 04:49 PM,Accepted-AOC,work awarded/completed,19-Jul-2022 07:42 PM,Finance,BOS,Jeet Singh Thakur,06-May-2022 03:45 PM,finance_90023.pdf,BOQ Comparative Chart,1.0,278330.0,Manesh Mehta,INR,"1,782,037",19-Jul-2022,"INR 1,700,000",60.0,Jeet Singh Thakur,19-Jul-2022 07:42 PM,11.1577.pdf (1001.00 KB),A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing Patch work in Km. 7/0 to 16/0 by manually),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-May-2022 04:29 PM,finsummary_90023.pdf (125.64 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,23-Apr-2022 06:49 PM,25-Apr-2022 11:30 AM,techsummary_90023.pdf (235.10 KB),PWD,2022_PWD_59487_2,No.PWC- WA-II- 112-211dated 4.4.2022,A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing Patch work in Km. 7/0 to 16/0 by manually),AOC,A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing Patch work in Km. 7/0 to 16/0 by manually),A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing Patch work in Km. 7/0 to 16/0 by manually),Please refer Tender documents. ,NA ,"17,00,000",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No.PWC- WA-II- 112-211dated 4.4.2022,2022_PWD_59487_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"34,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,500.0,Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,13-Apr-2022 10:00 AM,22-Apr-2022 11:30 AM,13-Apr-2022 10:00 AM,21-Apr-2022 05:00 PM,NA ,NA ,13-Apr-2022 10:00 AM,21-Apr-2022 05:00 PM,25-Apr-2022 11:30 AM,AOC
,,,,,2.0,278390.0,Nirut Mehta,20-Apr-2022 02:59 PM,Rejected-Finance,2nd lowest,06-May-2022 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
