EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"11,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,C/O Balh Bihal to Sangiana Da Tiyala roadVia Lakoo,2021_PWD_48149_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Balh Bihal to Sangiana Da Tiyala road via Lakoh Garari Km. 0/0 to 2/700,"SH ROFD at various rds, Co Rwall at Rd 0 210 to 0 230 and PLl Soling in Km. 00 to 1 0 Under OTMNP Head Time",NA ,NA ,,Civil Works,NA ,Tender,120.0,30.0,Barsar,174303.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form.,Executive Engineer HPPWD Division BarsarExecutive,Executive Engineer HPPWD Division BarsarExecutive,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,NA ,NA ,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,21-Jun-2021 02:00 PM,350.0,Nil,Nil,No,AOC,Executive Engineer,Internal,"Supdt.Gr.II, Divisional Accounts Officer, HDM",Anil Kumar Sharma,21-Jun-2021 11:14 AM,21-Jun-2021 02:00 PM,techsummary_72177.pdf (999.63 KB),PWD,2021_PWD_48149_1,C/O Balh Bihal to Sangiana Da Tiyala roadVia Lakoo,C/O Balh Bihal to Sangiana Da Tiyala road via Lakoh Garari Km. 0/0 to 2/700,28-Jul-2022,"INR 829,301",30.0,Vivek Sharma,28-Jul-2022 01:27 PM,Award1234.pdf (1386.00 KB),Award,EEBarsar,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Jul-2022 01:24 PM,finsummary_72177.pdf (691.16 KB),Finance,Attached,Vivek Sharma,28-Jul-2022 01:17 PM,finance_72177.pdf,BOQ Comparative Chart,1.0,217166.0,AVINDER KUMAR,INR,"829,300.6",1.0,217166.0,AVINDER KUMAR,16-Jun-2021 09:42 AM,Accepted-AOC,l1,28-Jul-2022 01:28 PM,Technical,Attached,Anil Kumar Sharma,21-Jun-2021 10:50 AM,technical_72177.pdf,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217099.0,JEET CHAND GOVT. CONTRACTOR,15-Jun-2021 03:18 PM,Rejected-Finance,l2,28-Jul-2022 01:24 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,216824.0,Parmjeet Sharma,15-Jun-2021 01:26 PM,Rejected-Technical,Non Responsive,21-Jun-2021 11:14 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,217177.0,Sanjeev Kumar,16-Jun-2021 09:38 AM,Rejected-Technical,Non Responsive,21-Jun-2021 11:14 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have more than 2 contracts at a time each of Rs. 100.0Lakhsormore in cir,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/ firm may like to be provide,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
