Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Sum,Suresh Kumar Walia,14-Jul-2020 03:38 PM,finance_56069.pdf,BOQ Comparative Chart,1.0,164879.0,Sunny,INR,"1,435,239",Technical,Sum,Suresh Kumar Walia,08-Jul-2020 12:51 PM,technical_56069.pdf,1.0,164925.0,DILWAG SINGH GOVT. COT.,26-Jun-2020 03:47 PM,Rejected-AOC,Lowest 4,22-Jul-2020 10:39 AM,18-Jul-2020,"INR 1,435,239",180.0,Suresh Kumar Walia,22-Jul-2020 10:39 AM,Award.pdf (213.00 KB),Award,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,14-Jul-2020 03:42 PM,finsummary_56069.pdf (198.60 KB),Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,08-Jul-2020 12:58 PM,14-Jul-2020 11:00 AM,techsummary_56069.pdf (935.13 KB),PWD,2020_PWD_38042_2,PWD Civil Work -1506-40-Tanda,"Construction of link road Bulhi Majhetly to Hatwas Km 0/000 to 0/900 in Distt Kangra (HP) (MMGSY Deposit Work) (SH-Construction of both side retaining wall at RD 0/850 to 0/865, 0/865 to 0/900 and parapet etc)",AOC,1.0,DD - Demand Draft,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HP PWD Tanda,Kangra,No,"27,000",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,"Construction of link road Bulhi Majhetly to Hatwas Km 0/000 to 0/900 in Distt Kangra (HP) (MMGSY Deposit Work) (SH-Construction of both side retaining wall at RD 0/850 to 0/865, 0/865 to 0/900 and parapet etc)","Construction of link road Bulhi Majhetly to Hatwas Km 0/000 to 0/900 in Distt Kangra (HP) (MMGSY Deposit Work) (SH-Construction of both side retaining wall at RD 0/850 to 0/865, 0/865 to 0/900 and parapet etc)",Please refer Tender documents. ,NA ,"13,43,686",Civil Works - Roads,NA ,Tender,120.0,180.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,PWD,PWD Civil Work -1506-40-Tanda,2020_PWD_38042_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,12-Jun-2020 05:00 PM,27-Jun-2020 11:30 AM,12-Jun-2020 05:00 PM,26-Jun-2020 05:00 PM,NA ,NA ,12-Jun-2020 05:00 PM,26-Jun-2020 05:00 PM,14-Jul-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,164915.0,Karan Sharma,26-Jun-2020 02:03 PM,Rejected-AOC,Lowest 2,22-Jul-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,164811.0,Kulbir Kumar,25-Jun-2020 06:23 PM,Rejected-Technical,Not Fulfill criteria,08-Jul-2020 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,164795.0,Neeraj,25-Jun-2020 05:28 PM,Rejected-AOC,Lowest 3,22-Jul-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,164912.0,Ramesh Parihar,26-Jun-2020 01:56 PM,Rejected-Technical,Not Fulfill criteria,08-Jul-2020 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,164897.0,Shadil Thakur,26-Jun-2020 01:26 PM,Rejected-AOC,Lowest 5,22-Jul-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,164747.0,SUKH SAGAR,25-Jun-2020 03:24 PM,Rejected-Technical,Not Fulfill criteria,08-Jul-2020 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8.0,164879.0,Sunny,26-Jun-2020 12:06 PM,Accepted-AOC,Lowest1,22-Jul-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9.0,164896.0,SURUCHI GUPTA,26-Jun-2020 12:51 PM,Rejected-Technical,Not Fulfill criteria,08-Jul-2020 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,AOC
