Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
03-Jul-2020,"INR 1,994,106",90.0,Sandeep Sobti,03-Jul-2020 02:57 PM,Harishbaglta.pdf (476.00 KB),Award letter,Er. S.K. Sobiti,Internal,DAO Supdt,Sandeep Sobti,03-Jul-2020 02:55 PM,finsummary_50327.pdf (301.17 KB),Er. S.K. Sobti,Internal,"DAO, Supdt.",Sandeep Sobti,13-Feb-2020 10:54 AM,13-Feb-2020 01:00 PM,techsummary_50327.pdf (291.73 KB),PWD,2020_PWD_34425_1,PW/RMP/TA/2019-13992-94 dated 15.01.2020,C.O Link Road Bhegulta to Sharan Km. 0.000 to 2.915,Finance,Proceeding,Sandeep Sobti,03-Jul-2020 02:23 PM,None,BOQ Comparative Chart,1.0,148687.0,HARISH KUMAR GOVT CONTRACTOR,INR,"1,601,199",Technical,proceeding,Sandeep Sobti,11-Feb-2020 12:56 PM,technical_50327.pdf,1.0,148687.0,HARISH KUMAR GOVT CONTRACTOR,07-Feb-2020 04:10 PM,Accepted-AOC,first lowest,03-Jul-2020 02:57 PM,AOC,PWD,PW/RMP/TA/2019-13992-94 dated 15.01.2020,2020_PWD_34425_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Rampur,Rampur,Yes,C.O Link Road Bhegulta to Sharan Km. 0.000 to 2.915,SH Formation cutting at Rd 0.900 to 2.915,Please refer Tender documents. ,NA ,"19,94,106",Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,30-Jan-2020 11:00 AM,10-Feb-2020 11:00 AM,30-Jan-2020 11:00 AM,10-Feb-2020 09:00 AM,30-Jan-2020 11:00 AM ,10-Feb-2020 09:00 AM ,30-Jan-2020 11:00 AM,10-Feb-2020 09:00 AM,13-Feb-2020 01:00 PM,"39,900",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE B and R Division HPPWD Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,148422.0,JAI PARKASH,05-Feb-2020 06:54 PM,Rejected-AOC,third lowest,03-Jul-2020 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,148740.0,SHAMSHER GOVT,08-Feb-2020 01:37 PM,Rejected-AOC,second lowest,03-Jul-2020 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,AOC
