Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
04-Jul-2020,"INR 2,241,308",30.0,Sanjiv Mahajan,04-Jul-2020 01:05 PM,Award.pdf (179.00 KB),AOC,s,Internal,"Sh. Santosh Kumar Dyal, DAO Gr-I, Sh. Jiwan Singh, Supdt. Gr-II. Sh. Ajay Kumar, HDM",Sanjiv Mahajan,04-Jul-2020 01:03 PM,finsummary_49065.pdf (25.07 KB),Sanjiv Mahajan,Internal,"Ajay Kumar, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,29-May-2020 04:30 PM,29-May-2020 04:35 PM,techsummary_49065.pdf (113.48 KB),PWD,2020_PWD_33949_2,14130-78 dated 21-12-2019,Improvement and widening of Old Kangra Rest House road 0/0 to 2/250 and approach road to PWD Rest House at Kangra km. 0/0 to 0/200),1.0,146003.0,VP SHARMA,INR,"2,873,818",Finance,Summary,Sanjiv Mahajan,04-Jul-2020 01:01 PM,finance_49065.pdf,BOQ Comparative Chart,Technical,Summary,Sanjiv Mahajan,29-May-2020 04:18 PM,technical_49065.pdf,1.0,146141.0,NAVNEET SHARMA GOVT. CONTRACTOR,20-Jan-2020 01:24 PM,Rejected-Finance,Rate highest,04-Jul-2020 01:04 PM,AOC,10-Jan-2020 10:00 AM,24-Jan-2020 11:30 AM,10-Jan-2020 10:00 AM,24-Jan-2020 11:00 AM,NA ,NA ,10-Jan-2020 10:00 AM,24-Jan-2020 11:00 AM,29-May-2020 04:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank ),1.0,FDR - Fixed Deposit,PWD,14130-78 dated 21-12-2019,2020_PWD_33949_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"41,150",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,500.0,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,Improvement and widening of Old Kangra Rest House road 0/0 to 2/250 and approach road to PWD Rest House at Kangra km. 0/0 to 0/200),(SH- P/L bituminous concrete pavement) (Under Global Investor Meet),Please refer Tender documents. ,NA ,"22,41,307",Civil Works,NA ,Tender,120.0,30.0,Work,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,146003.0,VP SHARMA,20-Jan-2020 07:05 AM,Accepted-AOC,Award,04-Jul-2020 01:05 PM,AOC,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1)(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
