Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,PWD,980-1030 dated 01.06.2020,2020_PWD_38093_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Restoration of rain Damages on various roads under Haripurdhar Sub-Division HPPWD Haripurdhar,Hiring of JCB for removal of slips),Please refer Tender documents. ,NA ,"3,09,291",Civil Works,NA ,Tender,90.0,120.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,15-Jun-2020 05:00 PM,30-Jun-2020 11:30 AM,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,NA ,NA ,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,06-Jul-2020 04:00 PM,"6,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,AOC,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,06-Jul-2020 03:33 PM,06-Jul-2020 04:00 PM,techsummary_56132.pdf (556.58 KB),PWD,2020_PWD_38093_5,980-1030 dated 01.06.2020,Restoration of rain Damages on various roads under Haripurdhar Sub-Division HPPWD Haripurdhar,29-Jul-2020,"INR 309,291",120.0,Rattan Kumar Sharma,29-Jul-2020 10:44 AM,18.pdf (3235.00 KB),AOC,Executive Engineer,Internal,Superintendent G-II DAO DHD Tender Assistant,Rattan Kumar Sharma,29-Jul-2020 10:42 AM,finsummary_56132.pdf (209.88 KB),1.0,165194.0,DROPTI SHARMA,29-Jun-2020 03:27 PM,Accepted-AOC,AOC,29-Jul-2020 10:45 AM,Technical,SUMMARY,Rattan Kumar Sharma,02-Jul-2020 10:18 AM,technical_56132.pdf,Finance,SUMMARY,Rattan Kumar Sharma,09-Jul-2020 12:24 PM,finance_56132.pdf,BOQ Comparative Chart,1.0,165194.0,DROPTI SHARMA,INR,"323,832",AOC
,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165260.0,KAMAL RAJ VERMA,29-Jun-2020 04:51 PM,Rejected-Finance,L2,29-Jul-2020 10:43 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,165112.0,vijay singh thakur,28-Jun-2020 09:18 AM,Rejected-Finance,L3,29-Jul-2020 10:43 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.7. FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
