Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Summary,Dalip Singh Tomar,19-Mar-2020 11:47 AM,technical_51375.pdf,1.0,151889.0,Bhupender Chauhan,01-Mar-2020 12:09 PM,Rejected-Finance,L8,24-Jul-2020 03:16 PM,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,24-Jul-2020 03:09 PM,finance_51375.pdf,BOQ Comparative Chart,1.0,152264.0,Nazar Ali,INR,"578,811",24-Jul-2020,"INR 524,167",90.0,Kishan Lal Chaudhary,24-Jul-2020 03:17 PM,aoc.pdf (978.00 KB),AOC,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,24-Jul-2020 03:15 PM,finsummary_51375.pdf (458.03 KB),Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,19-Mar-2020 01:09 PM,19-Mar-2020 03:00 PM,techsummary_51375.pdf (1067.61 KB),PWD,2020_PWD_34999_7,CB/Tender/2019-20-8463-8512 dated 05.02.2020,Extension of Badripur Jamniwala Parduni road km.0/0 to 14/500 from single lane to intermediate lane (SH Providing and laying G-III and M/T in both side berms in km. 5/300 to 6/0).,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Extension of Badripur Jamniwala Parduni road km.0/0 to 14/500 from single lane to intermediate lane (SH Providing and laying G-III and M/T in both side berms in km. 5/300 to 6/0).,Extension of Badripur Jamniwala Parduni road km.0/0 to 14/500 from single lane to intermediate lane (SH Providing and laying G-III and M/T in both side berms in km. 5/300 to 6/0).,Please refer tender document. ,NA ,"5,24,167",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,DD - Demand Draft,PWD,CB/Tender/2019-20-8463-8512 dated 05.02.2020,2020_PWD_34999_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,"10,500",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),14-Feb-2020 04:30 PM,04-Mar-2020 11:30 AM,14-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,NA ,NA ,14-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,19-Mar-2020 03:00 PM,AOC
,,,,,2.0,152167.0,Budh Raj Singh,03-Mar-2020 11:29 AM,Rejected-Finance,L7,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,152192.0,GAGAN KUMAR,03-Mar-2020 12:46 PM,Rejected-Finance,L6,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,152100.0,Manoj Chawla,02-Mar-2020 09:53 PM,Rejected-Finance,L2,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,152269.0,M/S SARVJEET SINGH,03-Mar-2020 04:06 PM,Rejected-Finance,L3,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,152264.0,Nazar Ali,03-Mar-2020 03:55 PM,Accepted-AOC,L1,24-Jul-2020 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,152251.0,RANJEET SINGH,03-Mar-2020 03:30 PM,Rejected-Finance,L5,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,8.0,152136.0,SANCHIT GOEL,03-Mar-2020 12:27 PM,Rejected-Finance,L4,24-Jul-2020 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
