EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"12,000",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,PWD,980-1030 dated 01.06.2020,2020_PWD_38093_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,15-Jun-2020 05:00 PM,30-Jun-2020 11:30 AM,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,NA ,NA ,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,08-Jul-2020 11:45 AM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,C/O kuffer Dadar Road Km. 0/0 to 8/00,"C/o 900mm dia Hume pipe culvert at Rd. 1/690, 2/450, 2/900 AND 3/180)",Please refer Tender documents. ,NA ,"5,97,134",Civil Works,NA ,Tender,90.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,AOC,Finance,SUMMARY,Rattan Kumar Sharma,15-Jul-2020 12:01 PM,finance_56179.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,08-Jul-2020 11:18 AM,08-Jul-2020 11:45 AM,techsummary_56179.pdf (587.37 KB),Technical,SUMMARY,Rattan Kumar Sharma,02-Jul-2020 10:31 AM,technical_56179.pdf,1.0,165172.0,Dalip Singh Rana,29-Jun-2020 04:51 AM,Rejected-Finance,L2,29-Jul-2020 11:54 AM,29-Jul-2020,"INR 597,134",180.0,Rattan Kumar Sharma,29-Jul-2020 11:56 AM,28.pdf (3216.00 KB),AOC,1.0,165324.0,SUNIL KUMAR,INR,"597,134",Executive Engineer,Internal,Superintendent G-II DAO DHD Tender Assistant,Rattan Kumar Sharma,29-Jul-2020 11:53 AM,finsummary_56179.pdf (213.25 KB),PWD,2020_PWD_38093_19,980-1030 dated 01.06.2020,C/O kuffer Dadar Road Km. 0/0 to 8/00,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,AOC,,,,,,,,,,,,,,,,,,,2.0,164970.0,JAGMOHAN CHAUHAN,26-Jun-2020 07:59 PM,Rejected-Finance,L3,29-Jul-2020 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,3.0,165324.0,SUNIL KUMAR,29-Jun-2020 04:47 PM,Accepted-AOC,AOC,29-Jul-2020 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,4.0,165161.0,vijay singh thakur,28-Jun-2020 10:09 PM,Rejected-Finance,L4,29-Jul-2020 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. FORM NO 8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
