Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,08-Jul-2020 04:18 PM,finsummary_50869.pdf (417.65 KB),08-Jul-2020,"INR 637,746",90.0,Dalip Singh Tomar,08-Jul-2020 04:20 PM,aoc.pdf (782.00 KB),AOC,PWD,2020_PWD_34562_4,tender/2019-20 8098-8147 dated 29.01.20120,C/o link road from Patti Natha Singh to Harizan Basti in Km. 0/0 to 1/0. (SH C/O 4.00 mtrs span R.C.C. Slab Culvert at RD. 0/060) Under MMGSY.,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,26-Feb-2020 11:00 AM,26-Feb-2020 03:15 PM,techsummary_50869.pdf (805.10 KB),1.0,149529.0,Randhir Singh,INR,"669,197",Finance,Fin. Summary,Dalip Singh Tomar,08-Jul-2020 04:05 PM,finance_50869.pdf,BOQ Comparative Chart,Technical,Summary,Dalip Singh Tomar,26-Feb-2020 10:43 AM,technical_50869.pdf,1.0,149538.0,Basti Ram,14-Feb-2020 08:51 PM,Rejected-Finance,L5,08-Jul-2020 04:18 PM,AOC,"13,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,tender/2019-20 8098-8147 dated 29.01.20120,2020_PWD_34562_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,07-Feb-2020 04:30 PM,17-Feb-2020 11:30 AM,07-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,NA ,NA ,07-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,26-Feb-2020 03:15 PM,1.0,DD - Demand Draft,350.0,EE Paonta Sahib,Paonta Sahib,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,C/o link road from Patti Natha Singh to Harizan Basti in Km. 0/0 to 1/0. (SH C/O 4.00 mtrs span R.C.C. Slab Culvert at RD. 0/060) Under MMGSY.,C/o link road from Patti Natha Singh to Harizan Basti in Km. 0/0 to 1/0. (SH C/O 4.00 mtrs span R.C.C. Slab Culvert at RD. 0/060) Under MMGSY.,please refer tender document ,NA ,"6,37,746",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173029.0,NA ,NA ,NA ,Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Paonta Sahib,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149651.0,DINESH KUMAR GUPTA,15-Feb-2020 03:09 PM,Rejected-Technical,Not Qualified,26-Feb-2020 11:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149555.0,FAREED HASHMI,14-Feb-2020 10:27 PM,Rejected-Finance,L3,08-Jul-2020 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149237.0,Gurmeet Singh,12-Feb-2020 10:19 PM,Rejected-Finance,L2,08-Jul-2020 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,149447.0,IQUBAL,15-Feb-2020 04:16 PM,Rejected-Finance,L4,08-Jul-2020 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,149529.0,Randhir Singh,14-Feb-2020 08:31 PM,Accepted-AOC,L1,08-Jul-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery asper schedule F Sr.No.6.19Ref.Cl No.18 .R.C,purchase billsownership/Affidavit hire basis",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,149609.0,SANCHIT GOEL,15-Feb-2020 12:32 PM,Rejected-Finance,L6,08-Jul-2020 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,AOC
